Geneid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
BSU_00010,8.94E-05,0.001262783,0.004293363,0.001821217,-0.004466079,-0.001390467,-0.001226284,-0.005981614,3.03E-05,0.001977217,0.022515998,-0.005521232,0.000993399,-0.005313325,-0.008331602,-0.001740739,0.001214361,0.016994046,-0.00416497,-0.004101687,-0.010644871,0.003106386,0.001198783,0.003221212,-0.00312378,-0.011654006,0.001005651,-0.009489618,-0.023141845,0.000727647,0.000701459,-0.017401562,0.000406422,0.009773385,-0.011460972,0.002783349,-0.000371374,0.00109338,0.005313841,-0.018845062,-0.000925616,9.17E-05,-0.013178317,0.002865794,-0.005619833,-0.005059917,-0.001898907,-0.008804153,-0.008713443,-0.024067162,-0.009177599,-0.012619321,-0.001191432,0.003750845,0.004681756,-0.005673287,0.002167607,-0.012404842,-0.005188351,0.005471039,0.003777068,-0.00616976,0.013069206,-0.008428677,-0.004672834,0.001405571,0.005669005,-0.014087533,-0.014478276,-0.00207136,-0.000659889,-0.004790672
BSU_00020,0.002525554,-0.008419206,0.00227064,-0.000484055,0.001462835,-0.012140854,0.006787191,0.000107723,0.003197175,0.000947426,0.029609834,-0.002746192,0.002252213,-0.009552899,-0.008565306,-0.005825454,-0.005620881,0.01346273,0.001409474,-0.000231314,0.001087503,7.24E-05,0.014796226,-0.001195277,-0.000492538,-0.015459101,-0.001494146,-0.006984273,-0.022968457,0.001526323,-0.001049293,-0.017632881,-0.006060888,0.000754387,-0.000809061,0.002477891,0.000797508,-0.002126945,-0.000967457,-0.000636715,-0.019597849,0.00220078,-0.01466108,0.014277084,-0.011949327,-0.009250328,-0.005690292,-0.010217455,-0.014394002,-0.024433105,-0.005598513,-0.000836597,0.00348382,0.001186114,0.001329027,-0.009572808,-0.005002389,-0.0155678,-0.006465389,0.00581251,0.003597203,-0.002244507,0.012091752,-0.003589722,-0.025058099,0.003270289,-6.61E-05,0.004522126,-0.010856842,0.001325255,0.003742455,0.002508336
BSU_00030,-0.006134411,0.004802094,-0.000735636,-0.00262491,-0.001030405,0.000368594,-0.000804134,-0.006966566,-0.000507077,-0.00685387,0.000640079,0.003356535,-0.005331371,-0.007776305,-0.012472095,0.006099552,-0.003660472,0.001453203,-0.00756539,-0.006386965,0.006808591,0.009602242,0.014868266,0.008266987,-0.014196153,-0.001859081,-0.00259188,-0.01237622,0.001334961,-0.001367689,0.001657179,-0.002198022,0.009300204,0.004026425,-0.009276309,0.008086964,0.001082657,-0.002391075,0.000837778,-0.003572458,-0.014528829,-0.003397869,-0.004881458,-0.01010106,0.007921329,-0.001604212,0.000484956,-0.005466181,-0.004091172,0.001981641,-0.026776232,-0.008171202,0.005986774,-0.004933143,0.005500275,-0.007611513,0.002908747,-0.008024164,-0.00750468,0.001400264,-0.00102412,-0.001533945,0.005006829,0.015415655,-0.005955207,-0.011571721,0.004045493,0.004160744,0.009912402,-0.008560734,0.02957932,-0.010809943
BSU_00040,-0.010966648,-0.004223589,-0.004924096,0.000193228,-0.002248627,-0.007987085,0.007028006,-0.001293923,-0.001841205,0.00145397,0.007939352,-0.005625432,0.004227878,-0.003483825,-0.00524394,9.25E-05,-0.009183318,-0.008297282,0.002319738,-0.003839532,-0.002052646,-0.003622095,0.010538926,0.003753036,-0.005008591,-0.001654927,-0.001033426,0.003289127,-0.011274753,0.00038401,0.009190415,-0.004698372,0.001774954,0.003540266,-0.004441213,-0.003437867,-0.000165369,-0.003819423,-0.002119573,-0.00778968,-0.005175598,-0.004209427,-0.006569911,-0.003383185,-0.013021384,-0.002128917,-0.000566968,0.000540997,-0.004495865,-0.001210301,-0.006823959,0.017006361,0.006224356,-0.004857349,0.000383688,0.000926494,-0.000270572,-0.000389089,-0.004097668,0.009615578,-0.001814227,-0.005117436,0.00336197,0.008900933,0.005103976,0.00079317,0.003878557,-0.0035478,-0.002159623,-0.017138128,0.001261714,-0.000834004
BSU_00050,-0.011480166,-0.004222318,0.000500209,0.000852372,0.004116972,-0.012794837,-0.013120249,0.001117849,0.000745623,-0.003699581,0.00716486,-0.001567988,0.010281756,-0.003176821,-0.004471723,-0.000308708,-0.005777478,0.008404115,0.004679142,-0.001777324,0.000610636,-0.005467148,0.012960347,0.000848095,0.00330593,-0.004358012,-0.002438671,0.0040849,-0.006759522,-0.00666202,0.00434375,-0.009968111,0.002423222,0.000373053,-0.008478205,0.002270919,-0.005434513,-0.002939076,-0.000950769,-0.013435465,-0.002505777,-0.00060865,-0.012530313,-0.01201693,-0.012801979,-0.001707381,-0.006159228,-0.003120465,-0.00961376,-0.004449661,-0.004837342,-0.00551047,-0.000608359,0.000987305,0.002973174,0.001039742,-0.007202082,-0.001649445,-0.004684414,-0.000141268,-0.000881596,-0.000340146,-0.006374078,0.010765032,0.009774242,-0.005852662,0.00633471,-0.001074045,0.003010391,-0.011063154,0.000147705,0.000443211
BSU_00060,-0.012136029,-0.001948778,0.00208971,-0.0010234,0.003315751,-0.005614594,-0.002265457,-0.001548387,-0.003944164,0.00017751,0.000823494,0.002504637,0.002502276,0.005043222,-0.006690541,-0.001946898,-0.000460936,-0.002233881,-0.000565028,-0.000662952,0.007955623,-0.001302933,0.012959979,0.006003986,0.003312093,-0.001183578,-0.004919442,0.000990742,0.00462594,-0.002600223,0.001035296,-0.003689652,0.001362427,-0.00291066,0.003807323,0.00373689,0.000817472,-0.004172053,-0.003069882,-0.005219432,-0.004492868,-0.005431885,-0.0087639,-0.005808094,-0.004706918,-0.000797432,-0.001509723,0.000635816,-0.007761348,-0.001760733,-0.016939484,-0.003600685,0.007773712,-0.002365448,-0.006098742,-0.00590649,-0.008005598,-0.006266912,-0.000960161,0.007644216,0.006914166,0.00465092,0.005943331,0.006476464,0.000629327,-0.000470544,-0.003054327,0.000681603,0.004636066,-0.008880167,-0.000276488,0.005401767
BSU_00070,-0.013312123,-6.10E-05,-0.005153636,-0.001542625,0.002415793,-0.011093229,0.002570377,0.004086313,0.004326483,-1.58E-06,-0.007061879,-0.002691128,-0.001426683,0.004036775,-0.004906006,0.000932189,-0.007505634,0.00101172,0.002915318,-0.005101512,0.002376216,-0.003637894,0.016600598,0.005399332,0.004690823,-0.001473979,-0.002466885,-0.005060118,0.005019733,-0.002261538,-0.002807721,-0.00703443,0.000610187,-0.000446579,0.000914579,0.001739543,-0.001633971,-0.001258801,-0.001440542,-0.005754453,-0.010579212,-0.006216248,-0.010345501,-0.000884906,-0.010351787,-0.00082405,-0.005414011,-0.002544884,-0.008104567,-0.001522339,-0.003107628,0.028437805,0.004588824,-0.000196896,-0.005620175,-0.000581412,-0.005737889,1.71E-05,-0.003717788,0.007405827,-6.79E-05,-0.007089824,0.006558195,-0.008784371,-0.003783313,0.003413685,-0.00277934,-0.000714995,-0.001739063,-0.002319951,0.001824521,0.002133025
BSU_00080,0.012714443,-0.006509636,0.000970552,0.00378131,0.004215808,-0.017680155,-0.021482929,-0.012100417,0.004520756,0.001160211,-0.024343014,-0.016360194,-0.009723461,0.000483771,0.011621864,0.002469743,0.003517046,-0.008263393,-0.004899181,-0.00062791,0.012835362,0.008675001,0.007387894,0.002590408,0.017796015,0.003124544,0.001866615,0.004018223,0.003639687,0.01087242,0.00163473,-0.009484347,0.011070189,-0.012659861,-0.008118523,0.00919446,-0.00798259,0.003666138,0.001279626,-0.019200166,0.014356617,0.003555875,0.015457911,-0.001085136,0.019305148,-0.009309561,-0.008873971,-0.004166891,0.000178013,0.001136327,0.014298089,0.002410165,-0.01814473,-0.004320276,0.01399644,-0.020939631,0.002857607,-0.002507844,0.010708849,-0.009361513,0.01801965,0.014584444,-0.002347517,0.010045873,0.015134197,0.001962569,-0.006475998,0.005984984,0.004808371,0.003375385,0.005408562,0.00790503
BSU_00090,0.050320017,0.00912023,-0.011392034,-0.002166914,0.005989806,0.001758867,-0.002950909,0.002220628,-0.005949499,-0.000350735,-0.008143965,-0.01096789,-0.001240236,0.009638986,-0.011853887,-0.057220173,0.005920693,0.000495543,0.004984361,-0.004474646,-0.006246266,0.002049212,-0.006754219,0.01324056,-0.00272496,-0.004652203,-0.004364075,-0.00958888,-0.023272435,0.000146907,0.010699902,-0.00731725,-0.000301283,-0.000373723,0.002541159,0.006118578,-0.004531885,-0.000660192,-0.003964537,-0.002628287,-0.001237832,0.006400934,-0.015402578,-0.001356048,-0.001713477,-0.009483729,0.004690616,-0.006478262,-0.003294793,-0.007460757,-0.009250956,-0.011764351,-0.01045609,0.00509961,-0.006387777,-0.008173677,-0.002486945,-0.012092486,0.009690952,-0.000717086,0.002234511,-0.00081036,0.005709348,0.009575657,-0.003780627,-0.010804351,-0.005142728,-0.010812443,-0.00934746,0.011130247,-0.002063777,0.002351997
BSU_00100,-0.014906702,-0.006438893,0.02688895,-0.002626353,0.003768817,-0.012545816,0.00334213,0.003469977,-0.000688292,-0.003234906,0.005135866,-0.004220135,-0.0048017,0.007295149,-0.002436224,0.002851924,0.017351667,-0.007240263,-0.001660382,-0.012371504,-0.019319188,-0.005230014,0.014714794,0.009365857,-0.003974177,0.005686789,0.000859303,0.002717309,-0.003519355,0.008006302,0.0006436,0.005557192,-0.003179797,-0.009038674,-0.013279822,0.013011559,0.000513042,0.00414413,-0.00114194,0.00402587,-0.004400266,0.004580803,-0.012308547,0.013721804,-0.010374213,0.004301269,-0.014112931,-0.00178604,-0.002736371,-0.008849081,0.017828853,-0.007669516,0.003403091,-0.004884256,-0.017192535,0.023876759,-0.011264027,-0.007260053,-0.001599825,0.006835413,-0.000267869,0.008814916,0.002518616,0.000779416,-0.00645082,-0.003049076,0.005957315,-0.021022668,-0.014188049,0.002222142,0.001843286,0.007265615
