HOG	OG	Gene Tree Parent Clade	Eco	Mtu	Pae	Sal	Sen	sac
N0.HOG0000000	OG0000000	n0		YP_177759.1, YP_177717.1, YP_177895.1, YP_177774.1, YP_177775.1, YP_177842.1, YP_177697.1, YP_177698.1, YP_177695.1, YP_177810.1, YP_177696.1, YP_177880.2, YP_178002.1, YP_177792.1, YP_177975.1, YP_177794.1, YP_177999.1, YP_177837.1, YP_177834.1, YP_177779.1, YP_177907.1, YP_177843.1, YP_177766.1, YP_177858.1, YP_177978.1, YP_177980.1, YP_177982.1, YP_177979.1, YP_177773.1, YP_177888.1, YP_177854.1, YP_177812.1, YP_177813.1, YP_177875.1, YP_177708.1, YP_177707.1, YP_177751.1, YP_177760.1, YP_177831.1, YP_177902.1, YP_177749.1, YP_178001.1, YP_178000.1, YP_177750.1, YP_177846.1, YP_177847.1, YP_177896.1, YP_177799.1, YP_177869.1, YP_177878.1, YP_177784.1, YP_177809.1, YP_177924.1, YP_177693.1, YP_177736.1, YP_177797.1, YP_177826.1, YP_177867.1, YP_177882.1, YP_177993.1, YP_177825.1, YP_177739.1, YP_177713.1, YP_177793.1, NP_214664.1, YP_177786.1, YP_177783.1, YP_177763.1, YP_177798.1, YP_177761.1, YP_177811.1, YP_177962.1, YP_177692.1, YP_177832.1, YP_177909.1, YP_177886.1, YP_177887.1, YP_177752.1, YP_178019.1, YP_177994.1, YP_177865.1, YP_177891.1, YP_177780.1, YP_177781.1, YP_177965.1, YP_177814.1, YP_177968.1				
N0.HOG0000001	OG0000001	n1	NP_415611.1	NP_215999.1	NP_251657.1	WP_003947377.1	NP_460165.1	WP_011278770.1
N0.HOG0000002	OG0000001	n8			NP_253079.1	WP_003946894.1		
N0.HOG0000003	OG0000001	n10		NP_216518.1		WP_003947246.1		
N0.HOG0000004	OG0000001	n12		NP_217373.1, NP_216457.1	NP_250340.1	WP_003947165.1, WP_003948717.1, WP_015506940.1, WP_003951438.1, WP_003951344.1, WP_003948181.1		WP_011278080.1
N0.HOG0000005	OG0000001	n22	NP_416921.4	NP_215566.1, NP_216381.1	NP_252646.1, NP_252837.1, NP_254208.1, NP_250693.1	WP_003952293.1	NP_461380.1	
N0.HOG0000006	OG0000001	n31		NP_217266.1, NP_215201.1		WP_015506942.1		
N0.HOG0000007	OG0000001	n34	NP_416641.1	NP_218076.1, NP_216444.1		WP_015507972.1, WP_003949132.1	NP_461116.1	
N0.HOG0000008	OG0000001	n41	NP_418687.1, NP_417254.4, NP_417319.1, NP_416136.1, NP_417378.1	NP_218002.1, NP_216230.1, NP_215283.1, NP_215442.1, NP_218066.1, YP_177905.1	NP_252077.1, NP_252787.1, NP_250519.1, NP_253837.1, NP_252851.1, NP_251818.1, NP_250161.1	WP_078485244.1, WP_003947365.1, WP_003946893.1, WP_003948545.1, WP_003946506.1, WP_015506850.1, WP_003946586.1, WP_003947914.1	NP_463343.1, NP_461934.1	WP_011278148.1, WP_011278925.1
N0.HOG0000009	OG0000001	n71			NP_251796.1			WP_011278600.1
N0.HOG0000010	OG0000001	n72		NP_218047.1	NP_251205.1			WP_011277119.1, WP_011277956.1, WP_011277958.1, WP_011277156.1
N0.HOG0000011	OG0000001	n77			NP_252778.1, NP_250518.1, NP_254211.1	WP_003950303.1		
