HOG	OG	Gene Tree Parent Clade	Eco	Mtu	Pae	Sal	Sen	sac
N4.HOG0000000	OG0000001	n1	NP_415611.1				NP_460165.1	
N4.HOG0000001	OG0000001	n23	NP_416921.4				NP_461380.1	
N4.HOG0000002	OG0000001	n34	NP_416641.1				NP_461116.1	
N4.HOG0000003	OG0000001	n52	NP_418687.1				NP_463343.1	
N4.HOG0000004	OG0000001	n53	NP_417254.4, NP_417319.1				NP_461934.1	
N4.HOG0000005	OG0000001	n55	NP_416136.1					
N4.HOG0000006	OG0000001	n64	NP_417378.1					
N4.HOG0000007	OG0000004	n4	NP_415961.1				NP_460556.3	
N4.HOG0000008	OG0000004	n11	NP_415903.4				NP_462044.1	
N4.HOG0000009	OG0000004	n14	NP_415816.1					
N4.HOG0000010	OG0000004	n17	NP_418045.4				NP_462580.1	
N4.HOG0000011	OG0000004	n24	NP_414846.1					
N4.HOG0000012	OG0000004	n25					NP_460075.1	
N4.HOG0000013	OG0000004	n37	NP_415905.1					
N4.HOG0000014	OG0000004	n44	NP_417147.1				NP_461717.1	
N4.HOG0000015	OG0000005	n1					NP_459834.1	
N4.HOG0000016	OG0000005	n9	NP_414581.1				NP_459078.1	
N4.HOG0000017	OG0000005	n10	NP_416210.4				NP_460322.1	
N4.HOG0000018	OG0000006	n2					NP_462535.1	
N4.HOG0000019	OG0000006	n10	NP_416137.1					
N4.HOG0000020	OG0000006	n17	NP_414879.3					
N4.HOG0000021	OG0000006	n25	NP_418369.1				NP_462975.1	
N4.HOG0000022	OG0000006	n29	NP_418685.1				NP_463341.1	
N4.HOG0000023	OG0000006	n30	YP_026222.1				NP_462444.1	
N4.HOG0000024	OG0000006	n34	NP_417194.2				NP_461929.1	
N4.HOG0000025	OG0000006	n37	NP_416656.1				NP_461136.1	
N4.HOG0000026	OG0000006	n38	NP_417314.1				NP_461928.1	
N4.HOG0000027	OG0000006	n41	NP_418209.1				NP_462785.1	
N4.HOG0000028	OG0000006	n42	NP_416175.1				NP_460393.1	
N4.HOG0000029	OG0000007	n6	NP_415763.1				NP_460701.1	
N4.HOG0000030	OG0000007	n10	NP_417997.1				NP_462528.1	
N4.HOG0000031	OG0000007	n20	NP_416685.1				NP_461163.1	
N4.HOG0000032	OG0000007	n22	NP_415350.2				NP_459825.1	
N4.HOG0000033	OG0000007	n26	NP_417936.1					
