HOG	OG	Gene Tree Parent Clade	bsu2	ecol2	mtub2	pae2	sac2	salb2	sen2
N4.HOG0000000	OG0000000	n1		b1093		PA2967			STM1195
N4.HOG0000001	OG0000000	n9				PA4389			
N4.HOG0000002	OG0000000	n17				PA1649			
N4.HOG0000003	OG0000000	n25				PA2003			
N4.HOG0000004	OG0000000	n28				PA3957			
N4.HOG0000005	OG0000000	n30				PA4148			
N4.HOG0000006	OG0000000	n31		b2426					STM2445
N4.HOG0000007	OG0000000	n43		b2842, b2774, b4266		PA4098, PA3387			STM3017, STM4483
N4.HOG0000008	OG0000000	n52		b2137					STM2171
N4.HOG0000009	OG0000000	n57				PA1828			
N4.HOG0000010	OG0000000	n63				PA2887			
N4.HOG0000011	OG0000000	n70				PA4162, PA5150			
N4.HOG0000012	OG0000000	n79		b2902		PA3128			
N4.HOG0000013	OG0000000	n81				PA1470			
N4.HOG0000014	OG0000000	n82				PA3106			
N4.HOG0000015	OG0000000	n88				PA4089, PA1827, PA5524, PA2515			
N4.HOG0000016	OG0000000	n93		b0596		PA5521			STM0598
N4.HOG0000017	OG0000002	n53				PA2786			
N4.HOG0000018	OG0000004	n1		b0127		PA2812			STM0172
N4.HOG0000019	OG0000004	n26							STM2020
N4.HOG0000020	OG0000004	n35		b3201		PA4461			STM3319
N4.HOG0000021	OG0000004	n46				PA3394			
N4.HOG0000022	OG0000004	n48				PA3672, PA4037			
N4.HOG0000023	OG0000005	n7				PA4123			STM1102
N4.HOG0000024	OG0000005	n9		b3588		PA1984, PA4022			STM3680
N4.HOG0000025	OG0000005	n14		b1300		PA4189, PA0219, PA5312			
N4.HOG0000026	OG0000005	n17		b1385		PA4073			STM3129
N4.HOG0000027	OG0000005	n20		b0312		PA5373			
N4.HOG0000028	OG0000005	n21				PA3504			
N4.HOG0000029	OG0000005	n22		b1444					STM1597
N4.HOG0000030	OG0000005	n27				PA2125			
N4.HOG0000031	OG0000005	n38		b1387					
N4.HOG0000032	OG0000005	n41				PA4899			
N4.HOG0000033	OG0000005	n49		b2661, b1415		PA0265			STM2791
N4.HOG0000034	OG0000006	n1		b3669		PA0601, PA1980			STM3790
N4.HOG0000035	OG0000006	n20		b2381					
N4.HOG0000036	OG0000006	n21		b2125					
N4.HOG0000037	OG0000006	n22							STM0347
N4.HOG0000038	OG0000006	n26		b2193, b1221		PA3879			STM2246, STM1767
N4.HOG0000039	OG0000007	n1		b3438, b4264		PA2320			STM2345, STM3696, STM3543, STM4481
N4.HOG0000040	OG0000007	n17		b0345					
N4.HOG0000041	OG0000007	n18		b1620					STM3633
N4.HOG0000042	OG0000007	n35		b1320					
N4.HOG0000043	OG0000007	n39		b2714, b2837, b2151					STM3012, STM1555, STM3011, STM2191
N4.HOG0000044	OG0000007	n46		b3934					STM4094
N4.HOG0000045	OG0000007	n49		b1658, b3753					STM1430, STM3886
N4.HOG0000046	OG0000008	n5		b1595		PA5029			STM1487
N4.HOG0000047	OG0000008	n7		b2537		PA2510			STM3121
N4.HOG0000048	OG0000008	n10				PA5218, PA3776			
N4.HOG0000049	OG0000008	n12				PA3594, PA1826			
N4.HOG0000050	OG0000008	n15		b0338		PA0528, PA2054			
N4.HOG0000051	OG0000008	n26		b4706, b2921		PA0217, PA5179			
N4.HOG0000052	OG0000008	n31							STM2575, STM0763
N4.HOG0000053	OG0000008	n36		b0768, b2409		PA1998			STM2424
N4.HOG0000054	OG0000008	n39				PA0218, PA0491			STM2281
N4.HOG0000055	OG0000008	n43		b3961		PA5344			STM4125
N4.HOG0000056	OG0000008	n46		b1988					STM0692
N4.HOG0000057	OG0000008	n48				PA3433			STM4270
N4.HOG0000058	OG0000009	n4		b4398		PA0463			STM4588
N4.HOG0000059	OG0000009	n8				PA2798			
N4.HOG0000060	OG0000009	n12		b0399		PA5360			STM0397
N4.HOG0000061	OG0000009	n19		b3912		PA3204			STM4059
N4.HOG0000062	OG0000009	n21		b1608		PA1157, PA1799			STM1475
N4.HOG0000063	OG0000009	n34				PA0756			STM2785
N4.HOG0000064	OG0000009	n35		b3025		PA4776, PA2479			STM3177
N4.HOG0000065	OG0000009	n40		b0571		PA2809			
N4.HOG0000066	OG0000009	n41		b1969		PA1437, PA4885, PA2523			STM1096
N4.HOG0000067	OG0000010	n1				PA0879			STM0857
N4.HOG0000068	OG0000010	n7				PA1187, PA4435			
N4.HOG0000069	OG0000010	n11				PA2889, PA1535			
N4.HOG0000070	OG0000010	n14		b1695, b0039		PA4979			STM1356, STM0073
N4.HOG0000071	OG0000010	n23				PA0746			
N4.HOG0000072	OG0000010	n34				PA0447			
N4.HOG0000073	OG0000010	n36				PA2552			
N4.HOG0000074	OG0000010	n43				PA2015			
N4.HOG0000075	OG0000010	n45				PA1631			
N4.HOG0000076	OG0000011	n4		b2306		PA5152, PA0892, PA2926			STM2351
