HOG	OG	Gene Tree Parent Clade	bsu2	ecol2	mtub2	pae2	sac2	salb2	sen2
N3.HOG0000000	OG0000000	n1			Rv1483			XNR_RS24800	
N3.HOG0000001	OG0000000	n9						XNR_RS27235	
N3.HOG0000002	OG0000000	n11			Rv2002			XNR_RS25470	
N3.HOG0000003	OG0000000	n14			Rv2857c			XNR_RS25880	
N3.HOG0000004	OG0000000	n17						XNR_RS18085, XNR_RS04485, XNR_RS04475	
N3.HOG0000005	OG0000000	n20						XNR_RS04960, XNR_RS20760	
N3.HOG0000006	OG0000000	n25						XNR_RS00260	
N3.HOG0000007	OG0000000	n28			Rv1050				
N3.HOG0000008	OG0000000	n30			Rv1865c				
N3.HOG0000009	OG0000000	n33			Rv0687, Rv2750			XNR_RS04510	
N3.HOG0000010	OG0000000	n52			Rv1928c				
N3.HOG0000011	OG0000000	n59			Rv0927c			XNR_RS24855	
N3.HOG0000012	OG0000000	n60			Rv3549c, Rv2766c			XNR_RS27240	
N3.HOG0000013	OG0000000	n63			Rv1714, Rv3485c				
N3.HOG0000014	OG0000000	n67						XNR_RS29155, XNR_RS02895, XNR_RS28775	
N3.HOG0000015	OG0000000	n79						XNR_RS18940	
N3.HOG0000016	OG0000000	n81						XNR_RS22095	
N3.HOG0000017	OG0000000	n86						XNR_RS03280	
N3.HOG0000018	OG0000000	n88			Rv3530c			XNR_RS10170	
N3.HOG0000019	OG0000000	n93			Rv3559c			XNR_RS02935, XNR_RS16085, XNR_RS22785	
N3.HOG0000020	OG0000001	n0			Rv0832, Rv0335c, Rv0980c, Rv0978c, Rv2615c, Rv1430, Rv0151c, Rv0160c, Rv0159c, Rv0152c, Rv2408, Rv3653, Rv1803c, Rv0916c, Rv1040c, Rv2769c, Rv1791, Rv1788, Rv3622c, Rv3477, Rv1195, Rv1169c, Rv1806, Rv3507, Rv2107, Rv3514, Rv3508, Rv3511, Rv2519, Rv1983, Rv0977, Rv2371, Rv1450c, Rv1452c, Rv1172c, Rv0297, Rv0578c, Rv0150c, Rv0872c, Rv1243c, Rv1087, Rv1091, Rv1441c, Rv3345c, Rv0834c, Rv1768, Rv0109, Rv3367, Rv1068c, Rv1067c, Rv2591, Rv1468c, Rv3388, Rv2487c, Rv2490c, Rv0754, Rv2853, Rv3812, Rv3595c, Rv2162c, Rv2431c, Rv3590c, Rv1646, Rv1840c, Rv1818c, Rv1325c, Rv2634c, Rv2340c, Rv2396, Rv1088, Rv0833, Rv0747, Rv0279c, Rv0278c, Rv1759c, Rv2741, Rv0742, Rv3652, Rv3650, Rv0746, Rv2328, Rv1214c, Rv1651c, Rv3097c, Rv1396c, Rv0124, Rv0532				
N3.HOG0000021	OG0000002	n1			Rv1364c			XNR_RS18445, XNR_RS01600, XNR_RS28685, XNR_RS31315, XNR_RS08465, XNR_RS20440, XNR_RS08470, XNR_RS13305, XNR_RS11160, XNR_RS16945, XNR_RS06835, XNR_RS13800, XNR_RS03290, XNR_RS06415, XNR_RS15490, XNR_RS09745, XNR_RS24240, XNR_RS04015, XNR_RS29710, XNR_RS27600, XNR_RS01380, XNR_RS27880, XNR_RS12400, XNR_RS14985, XNR_RS15395, XNR_RS18665, XNR_RS03420, XNR_RS13965, XNR_RS27725, XNR_RS23245, XNR_RS25960, XNR_RS10240, XNR_RS27190, XNR_RS05535, XNR_RS12420, XNR_RS28365, XNR_RS11000, XNR_RS12970, XNR_RS12250, XNR_RS14445, XNR_RS15310, XNR_RS16000, XNR_RS27985, XNR_RS03355, XNR_RS13910, XNR_RS19430, XNR_RS16205, XNR_RS16890	
N3.HOG0000022	OG0000002	n53						XNR_RS31310, XNR_RS21390	
N3.HOG0000023	OG0000002	n55						XNR_RS12000, XNR_RS09595, XNR_RS11255, XNR_RS14455	
N3.HOG0000024	OG0000002	n59						XNR_RS00335, XNR_RS04100	
