HOG	OG	Gene Tree Parent Clade	bsu2	ecol2	mtub2	pae2	sac2	salb2	sen2
N5.HOG0000000	OG0000000	n1		b1093					STM1195
N5.HOG0000001	OG0000000	n31		b2426					STM2445
N5.HOG0000002	OG0000000	n47		b2842					STM3017
N5.HOG0000003	OG0000000	n49		b2774, b4266					STM4483
N5.HOG0000004	OG0000000	n52		b2137					STM2171
N5.HOG0000005	OG0000000	n79		b2902					
N5.HOG0000006	OG0000000	n93		b0596					STM0598
N5.HOG0000007	OG0000004	n1		b0127					STM0172
N5.HOG0000008	OG0000004	n26							STM2020
N5.HOG0000009	OG0000004	n35		b3201					STM3319
N5.HOG0000010	OG0000005	n7							STM1102
N5.HOG0000011	OG0000005	n9		b3588					STM3680
N5.HOG0000012	OG0000005	n14		b1300					
N5.HOG0000013	OG0000005	n17		b1385					STM3129
N5.HOG0000014	OG0000005	n20		b0312					
N5.HOG0000015	OG0000005	n22		b1444					STM1597
N5.HOG0000016	OG0000005	n38		b1387					
N5.HOG0000017	OG0000005	n49		b2661, b1415					STM2791
N5.HOG0000018	OG0000006	n1		b3669					STM3790
N5.HOG0000019	OG0000006	n20		b2381					
N5.HOG0000020	OG0000006	n21		b2125					
N5.HOG0000021	OG0000006	n22							STM0347
N5.HOG0000022	OG0000006	n28		b2193					STM2246
N5.HOG0000023	OG0000006	n29		b1221					STM1767
N5.HOG0000024	OG0000007	n5							STM2345, STM3696
N5.HOG0000025	OG0000007	n7		b3438					STM3543
N5.HOG0000026	OG0000007	n8		b4264					STM4481
N5.HOG0000027	OG0000007	n17		b0345					
N5.HOG0000028	OG0000007	n18		b1620					STM3633
N5.HOG0000029	OG0000007	n35		b1320					
N5.HOG0000030	OG0000007	n41		b2714					STM3012
N5.HOG0000031	OG0000007	n44		b2837					STM3011
N5.HOG0000032	OG0000007	n45		b2151					STM2191
N5.HOG0000033	OG0000007	n46		b3934					STM4094
N5.HOG0000034	OG0000007	n50		b1658					STM1430
N5.HOG0000035	OG0000007	n51		b3753					STM3886
N5.HOG0000036	OG0000008	n5		b1595					STM1487
N5.HOG0000037	OG0000008	n7		b2537					STM3121
N5.HOG0000038	OG0000008	n15		b0338					
N5.HOG0000039	OG0000008	n26		b4706, b2921					
N5.HOG0000040	OG0000008	n31							STM2575, STM0763
N5.HOG0000041	OG0000008	n36		b0768, b2409					STM2424
N5.HOG0000042	OG0000008	n39							STM2281
N5.HOG0000043	OG0000008	n43		b3961					STM4125
N5.HOG0000044	OG0000008	n46		b1988					STM0692
