Orthogroup	Eco	Mtu	Pae	Sal	Sen	sac
OG0005062	NP_414677.1					
OG0005063	NP_414678.1					
OG0005064	NP_414679.1					
OG0005065	NP_414680.4					
OG0005066	NP_414683.1					
OG0005067	NP_414734.1					
OG0005068	NP_414735.4					
OG0005069	NP_414752.1					
OG0005070	NP_414767.1					
OG0005071	NP_414768.1					
OG0005072	NP_414805.1					
OG0005073	NP_414812.1					
OG0005074	NP_414813.1					
OG0005075	NP_414814.1					
OG0005076	NP_414821.1					
OG0005077	NP_414824.1					
OG0005078	NP_414825.1					
OG0005079	NP_414827.1					
OG0005080	NP_414829.1					
OG0005081	NP_414844.1					
OG0005082	NP_414860.1					
OG0005083	NP_414861.2					
OG0005084	NP_414892.1					
OG0005085	NP_414989.1					
OG0005086	NP_415076.1					
OG0005087	NP_415079.1					
OG0005088	NP_415080.1					
OG0005089	NP_415081.1					
OG0005090	NP_415082.1					
OG0005091	NP_415089.1					
OG0005092	NP_415091.1					
OG0005093	NP_415099.1					
OG0005094	NP_415101.1					
OG0005095	NP_415105.1					
OG0005096	NP_415106.1					
OG0005097	NP_415180.1					
OG0005098	NP_415215.1					
OG0005099	NP_415230.1					
OG0005100	NP_415232.1					
OG0005101	NP_415259.1					
OG0005102	NP_415292.2					
OG0005103	NP_415327.2					
OG0005104	NP_415354.1					
OG0005105	NP_415364.1					
OG0005106	NP_415507.2					
OG0005107	NP_415511.1					
OG0005108	NP_415521.1					
OG0005109	NP_415537.1					
OG0005110	NP_415540.1					
OG0005111	NP_415543.1					
OG0005112	NP_415548.1					
OG0005113	NP_415603.2					
OG0005114	NP_415633.1					
OG0005115	NP_415639.1					
OG0005116	NP_415640.2					
OG0005117	NP_415655.1					
OG0005118	NP_415656.1					
OG0005119	NP_415657.1					
OG0005120	NP_415659.1					
OG0005121	NP_415661.2					
OG0005122	NP_415662.2					
OG0005123	NP_415663.1					
OG0005124	NP_415664.2					
OG0005125	NP_415665.2					
OG0005126	NP_415666.1					
OG0005127	NP_415668.1					
OG0005128	NP_415671.1					
OG0005129	NP_415681.1					
OG0005130	NP_415682.1					
OG0005131	NP_415683.1					
OG0005132	NP_415684.1					
OG0005133	NP_415685.1					
OG0005134	NP_415689.2					
OG0005135	NP_415690.5					
OG0005136	NP_415700.4					
OG0005137	NP_415714.1					
OG0005138	NP_415716.4					
OG0005139	NP_415736.2					
OG0005140	NP_415747.2					
OG0005141	NP_415775.4					
OG0005142	NP_415781.1					
OG0005143	NP_415784.1					
OG0005144	NP_415805.1					
OG0005145	NP_415811.1					
OG0005146	NP_415825.4					
OG0005147	NP_415829.1					
OG0005148	NP_415835.1					
OG0005149	NP_415862.4					
OG0005150	NP_415863.1					
OG0005151	NP_415864.1					
OG0005152	NP_415865.1					
OG0005153	NP_415867.1					
OG0005154	NP_415869.2					
OG0005155	NP_415870.4					
OG0005156	NP_415873.2					
OG0005157	NP_415874.1					
OG0005158	NP_415875.1					
OG0005159	NP_415876.1					
OG0005160	NP_415883.1					
OG0005161	NP_415925.2					
OG0005162	NP_415937.1					
OG0005163	NP_415943.4					
OG0005164	NP_415954.2					
OG0005165	NP_415955.2					
OG0005166	NP_415957.1					
OG0005167	NP_415959.1					
OG0005168	NP_415960.1					
OG0005169	NP_415971.1					
OG0005170	NP_415972.1					
OG0005171	NP_415974.1					
OG0005172	NP_415978.1					
OG0005173	NP_416008.1					
OG0005174	NP_416012.1					
OG0005175	NP_416017.1					
