Gene	Orthogroup
PA4089	OG0000000
STM2171	OG0000000
BSU_08650	OG0000000
Rv0927c	OG0000000
BSU_15910	OG0000000
PA2887	OG0000000
b0596	OG0000000
PA3128	OG0000000
b4266	OG0000000
XNR_RS03280	OG0000000
BSU_22140	OG0000000
XNR_RS00260	OG0000000
PA4148	OG0000000
b2842	OG0000000
BSU_16870	OG0000000
b2137	OG0000000
BSU_39840	OG0000000
PA5150	OG0000000
b2902	OG0000000
STM2445	OG0000000
STM4483	OG0000000
XNR_RS28775	OG0000000
XNR_RS29155	OG0000000
XNR_RS02895	OG0000000
XNR_RS04510	OG0000000
PA3106	OG0000000
Rv2766c	OG0000000
PA2967	OG0000000
XNR_RS18940	OG0000000
Rv1928c	OG0000000
Rv3559c	OG0000000
b1093	OG0000000
XNR_RS16085	OG0000000
PA5521	OG0000000
XNR_RS24800	OG0000000
PA3957	OG0000000
XNR_RS27240	OG0000000
Rv0687	OG0000000
PA3387	OG0000000
BSU_18500	OG0000000
PA2003	OG0000000
Rv1865c	OG0000000
XNR_RS18085	OG0000000
XNR_RS27235	OG0000000
PA1828	OG0000000
BSU_02830	OG0000000
SACI_RS08570	OG0000000
XNR_RS04485	OG0000000
Rv3530c	OG0000000
PA2515	OG0000000
b2426	OG0000000
SACI_RS05250	OG0000000
XNR_RS10170	OG0000000
Rv1350	OG0000000
BSU_32000	OG0000000
Rv1714	OG0000000
PA4098	OG0000000
PA1827	OG0000000
Rv3485c	OG0000000
XNR_RS04960	OG0000000
PA4389	OG0000000
SACI_RS10300	OG0000000
SACI_RS05260	OG0000000
XNR_RS20760	OG0000000
Rv1050	OG0000000
BSU_32910	OG0000000
STM0598	OG0000000
SACI_RS06255	OG0000000
STM3017	OG0000000
PA1649	OG0000000
Rv2750	OG0000000
SACI_RS05875	OG0000000
BSU_38970	OG0000000
XNR_RS22785	OG0000000
b2774	OG0000000
XNR_RS04475	OG0000000
XNR_RS24855	OG0000000
BSU_14060	OG0000000
BSU_29420	OG0000000
XNR_RS25470	OG0000000
b1619	OG0000000
STM1195	OG0000000
SACI_RS01155	OG0000000
Rv3549c	OG0000000
PA1470	OG0000000
XNR_RS02935	OG0000000
Rv2857c	OG0000000
BSU_37720	OG0000000
BSU_12350	OG0000000
XNR_RS25880	OG0000000
Rv1941	OG0000000
SACI_RS00960	OG0000000
BSU_13770	OG0000000
Rv1483	OG0000000
SACI_RS09495	OG0000000
BSU_03930	OG0000000
PA4162	OG0000000
XNR_RS22095	OG0000000
Rv0769	OG0000000
PA5524	OG0000000
Rv2002	OG0000000
Rv1325c	OG0000001
Rv3652	OG0000001
Rv0916c	OG0000001
Rv2107	OG0000001
Rv0977	OG0000001
Rv0746	OG0000001
Rv2162c	OG0000001
Rv3097c	OG0000001
Rv3345c	OG0000001
Rv1214c	OG0000001
Rv1396c	OG0000001
Rv3508	OG0000001
Rv1441c	OG0000001
Rv2408	OG0000001
Rv3622c	OG0000001
Rv2591	OG0000001
Rv1068c	OG0000001
Rv2741	OG0000001
Rv0532	OG0000001
Rv3590c	OG0000001
Rv1803c	OG0000001
Rv1818c	OG0000001
Rv1791	OG0000001
Rv3595c	OG0000001
Rv0872c	OG0000001
Rv3507	OG0000001
Rv1040c	OG0000001
Rv1169c	OG0000001
Rv1646	OG0000001
Rv1651c	OG0000001
Rv0279c	OG0000001
Rv3812	OG0000001
Rv1088	OG0000001
Rv1759c	OG0000001
Rv0834c	OG0000001
Rv1067c	OG0000001
Rv1430	OG0000001
Rv3477	OG0000001
Rv1840c	OG0000001
Rv0152c	OG0000001
Rv1806	OG0000001
Rv0978c	OG0000001
Rv2634c	OG0000001
Rv3653	OG0000001
Rv2490c	OG0000001
Rv3650	OG0000001
Rv2615c	OG0000001
Rv1468c	OG0000001
Rv0109	OG0000001
Rv0742	OG0000001
Rv3514	OG0000001
Rv3511	OG0000001
Rv0160c	OG0000001
Rv1768	OG0000001
Rv1983	OG0000001
Rv1091	OG0000001
Rv1087	OG0000001
Rv2396	OG0000001
Rv2371	OG0000001
Rv3367	OG0000001
Rv0747	OG0000001
Rv2853	OG0000001
Rv0278c	OG0000001
Rv0150c	OG0000001
Rv3388	OG0000001
Rv1788	OG0000001
Rv0832	OG0000001
Rv0335c	OG0000001
Rv1172c	OG0000001
Rv2328	OG0000001
Rv2340c	OG0000001
Rv2431c	OG0000001
Rv0578c	OG0000001
Rv1195	OG0000001
Rv0151c	OG0000001
Rv1243c	OG0000001
Rv0980c	OG0000001
Rv2519	OG0000001
Rv0833	OG0000001
Rv0124	OG0000001
Rv0297	OG0000001
Rv0754	OG0000001
Rv0159c	OG0000001
Rv1452c	OG0000001
Rv2769c	OG0000001
Rv2487c	OG0000001
Rv1450c	OG0000001
XNR_RS01380	OG0000002
XNR_RS16890	OG0000002
XNR_RS06835	OG0000002
XNR_RS15395	OG0000002
XNR_RS28365	OG0000002
XNR_RS06415	OG0000002
XNR_RS23245	OG0000002
XNR_RS05535	OG0000002
XNR_RS15490	OG0000002
XNR_RS31310	OG0000002
XNR_RS12420	OG0000002
XNR_RS15310	OG0000002
XNR_RS14985	OG0000002
XNR_RS13305	OG0000002
XNR_RS00335	OG0000002
XNR_RS27985	OG0000002
XNR_RS04015	OG0000002
XNR_RS08465	OG0000002
XNR_RS18665	OG0000002
XNR_RS16000	OG0000002
XNR_RS16205	OG0000002
XNR_RS11255	OG0000002
XNR_RS27725	OG0000002
XNR_RS08470	OG0000002
XNR_RS09745	OG0000002
XNR_RS11160	OG0000002
XNR_RS12970	OG0000002
XNR_RS31315	OG0000002
XNR_RS10240	OG0000002
XNR_RS19430	OG0000002
XNR_RS27190	OG0000002
XNR_RS09595	OG0000002
XNR_RS27880	OG0000002
Rv1364c	OG0000002
XNR_RS16945	OG0000002
Rv0941c	OG0000002
