Number of species	7
Number of genes	30629
Number of genes in orthogroups	23583
Number of unassigned genes	7046
Percentage of genes in orthogroups	77.0
Percentage of unassigned genes	23.0
Number of orthogroups	5262
Number of species-specific orthogroups	950
Number of genes in species-specific orthogroups	2845
Percentage of genes in species-specific orthogroups	9.3
Mean orthogroup size	4.5
Median orthogroup size	3.0
G50 (assigned genes)	6
G50 (all genes)	4
O50 (assigned genes)	1179
O50 (all genes)	1927
Number of orthogroups with all species present	296
Number of single-copy orthogroups	107
Date	2024-01-26
Orthogroups file	Orthogroups.tsv
Unassigned genes file	Orthogroups_UnassignedGenes.tsv
Per-species statistics	Statistics_PerSpecies.tsv
Overall statistics	Statistics_Overall.tsv
Orthogroups shared between species	Orthogroups_SpeciesOverlaps.tsv

Average number of genes per-species in orthogroup	Number of orthogroups	Percentage of orthogroups	Number of genes	Percentage of genes
<1	4375	83.1	13543	57.4
'1	717	13.6	6171	26.2
'2	112	2.1	1792	7.6
'3	22	0.4	520	2.2
'4	15	0.3	474	2.0
'5	6	0.1	225	1.0
'6	4	0.1	183	0.8
'7	7	0.1	366	1.6
'8	2	0.0	121	0.5
'9	0	0.0	0	0.0
'10	0	0.0	0	0.0
11-15	2	0.0	188	0.8
16-20	0	0.0	0	0.0
21-50	0	0.0	0	0.0
51-100	0	0.0	0	0.0
101-150	0	0.0	0	0.0
151-200	0	0.0	0	0.0
201-500	0	0.0	0	0.0
501-1000	0	0.0	0	0.0
'1001+	0	0.0	0	0.0

Number of species in orthogroup	Number of orthogroups
1	950
2	1775
3	979
4	497
5	314
6	451
7	296
