Sample	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	pe_sense	pe_antisense	failed		
135-Dmannitol	36018873	7168834	4993003	22814496	0	0	0	0	12895	0	0	0	0	677381	340063	12201	19.90299363	36018873	13204377	36.66	22814496	63.34	135-Dmannitol_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36018873	0	20-150	61	16.92900607	140.8295245	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	2.6	36194501	17374506	36194501	5429175150	7059833	5107978372	5.916124809	0.0137	0.3111	0.6752		
136-Dmannitol	18600840	542058	303688	17683334	0	0	0	0	1137	0	0	0	0	45119	24612	892	2.914158715	18600840	917506	4.93	17683334	95.07	136-Dmannitol_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18600840	0	20-150	58	20.43400573	140.5444997	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	2.6	18707509	9280088	18707509	2806126350	3942355	2634227240	6.125850677	0.0151	0.3491	0.6358		
138-Dcellobiose	29476631	15104998	10902474	1353257	0	0	0	0	26573	0	0	0	0	1287067	775918	26344	51.24397697	29476631	28123374	95.41	1353257	4.59	138-Dcellobiose_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29476631	0	20-150	65	13.4198361	139.2956422	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	29616731	14682035	29616731	4442509650	7427181	4132981018	6.967427341	0.0123	0.3029	0.6849		
140-Dcellobiose	20506777	10352937	7839234	902060	0	0	0	0	14292	0	0	0	0	890073	494493	13688	50.48544196	20506777	19604717	95.6	902060	4.4	140-Dcellobiose_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20506777	0	20-150	65	14.05962458	137.988348	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	20612066	10785820	20612066	3091809900	5097553	2849551298	7.835494737	0.0129	0.3032	0.6839		
145-Glycerol	46519275	63722	128536	46314430	0	0	0	0	273	0	0	0	0	9557	2688	69	0.136979779	46519275	204845	0.44	46314430	99.56	145-Glycerol_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	46519275	0	20-150	58	12.15051322	141.0589785	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	2.6	46691271	23174442	46691271	7003690650	8029853	6599707602	5.768145228	0.0098	0.1832	0.807		
146-Glycerol	33674401	180192	168439	33299252	0	0	0	0	418	0	0	0	0	17674	8176	250	0.535100832	33674401	375149	1.11	33299252	98.89	146-Glycerol_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33674401	0	20-150	58	14.21769008	141.5170457	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	2.6	33827445	16447868	33827445	5074116750	6180906	4795758158	5.485853119	0.0138	0.2736	0.7126		
149-LAlanine	57352571	27100147	21953288	2614277	0	0	0	0	57479	0	0	0	0	3920724	1660658	45998	47.25184334	57352571	54738294	95.44	2614277	4.56	149-LAlanine_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	57352571	0	20-150	65	11.26174601	139.2580609	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	57623081	28386504	57623081	8643462150	13873842	8038740976	6.996284168	0.0193	0.2816	0.6991		
150-LAlanine	32617442	16788340	11004773	1511544	0	0	0	0	38372	0	0	0	0	2173393	1070316	30704	51.4704372	32617442	31105898	95.37	1511544	4.63	150-LAlanine_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32617442	0	20-150	65	13.38117335	137.5221983	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	32803602	16893033	32803602	4920540300	8089117	4519660721	8.147064236	0.0193	0.3108	0.6699		
155-Glucose	30940278	14800923	11009510	1444770	0	0	0	0	30308	0	0	0	0	2583302	1041036	30429	47.83707179	30940278	29495508	95.33	1444770	4.67	155-Glucose_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30940278	0	20-150	65	14.05646557	138.3579739	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	31063813	15752755	31063813	4659571950	7285924	4305982602	7.588451295	0.0246	0.2984	0.677		
156-Glucose	30119664	14350155	10723850	1553617	0	0	0	0	54361	0	0	0	0	2422819	986598	28264	47.64380838	30119664	28566047	94.84	1553617	5.16	156-Glucose_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30119664	0	20-150	65	14.55759211	136.571506	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	30419954	16130290	30419954	4562993100	8808046	4159702901	8.838282026	0.0242	0.2965	0.6793		
