,XNR_RS03030,XNR_RS03370,XNR_RS05170,XNR_RS05970,XNR_RS07380,XNR_RS07515,XNR_RS07760,XNR_RS07865,XNR_RS08220,XNR_RS09755,XNR_RS10635,XNR_RS13665,XNR_RS14315,XNR_RS14320,XNR_RS14400,XNR_RS14850,XNR_RS16255,XNR_RS16370,XNR_RS17300,XNR_RS18855,XNR_RS19540,XNR_RS19730,XNR_RS19800,XNR_RS22170,XNR_RS25815,XNR_RS26190,XNR_RS27425,XNR_RS27905,XNR_RS28030,XNR_RS29215,XNR_RS07675
XNR_RS30570,0.2273526983335997,1.5469107000511692e-14,8.528416173651012e-07,0.486051391062695,0.0010919539939883533,0.03484718876125226,0.1757680207310577,0.08459649958999689,0.9405429182924012,0.15262526208441796,0.022476114355331436,0.992829913848082,0.32411879370401964,0.0013269466588574873,0.47796337861731963,0.5685720517337001,9.684480103001179e-08,0.7621514986173736,0.05936181995877798,0.05210256163714285,0.00028892901568647376,0.004391873066782459,0.8934018057238772,1.8669484759702892e-13,7.380795184342268e-08,4.455173455427099e-05,0.8255399287905061,1.4801030956722092e-11,1.3000736609478586e-18,8.039737801716473e-12,9.536296775913233e-08
XNR_RS00005,0.004966307834846014,7.426110773140444e-09,0.003561553260799434,0.23153159295929218,0.9580766622975148,0.8836349365408952,0.0017067587938038313,4.7898936489765006e-06,0.7197517800614679,1.829540992947294e-10,0.830564008994821,0.4821786832788917,1.3745963374857703e-05,0.36511726483583873,0.029768079323440513,0.008890734056763654,9.309030028695751e-05,0.7584077377144254,0.09897817677061498,0.9780173699622323,0.21223484705574827,1.8754844746516732e-05,0.04899923962769899,6.28739000476041e-26,3.057246867893536e-05,5.724631066887136e-11,0.21282333402518164,1.9134642018302782e-21,3.1945230981233206e-20,3.8518925447450305e-11,1.0263300354682875e-05
XNR_RS00010,1.6129379731753726e-05,0.26156067747712164,0.04128610622882064,0.00025094703379952645,0.000350947099401749,1.6214834073886756e-10,0.0025923594033001774,3.0033997706781998e-15,2.916589760262668e-05,0.5757995234250427,4.21016036526097e-09,0.5891160898425726,1.1091779474363768e-12,0.1972882780962089,0.013015649237247705,1.3073590539040659e-13,1.739494958432797e-05,0.008692937242260891,0.8511140662705075,0.0245956090382209,1.2980453148474274e-05,9.570586083578661e-05,0.0009683764110659169,4.506289885136639e-05,0.9071720065100364,0.5368606539301103,6.533736995008009e-07,0.003324189352907816,0.17728713685004047,0.05454564510055208,0.31090577150700055
XNR_RS00015,0.12639341549588548,0.000565986808845624,0.0013078704171094377,0.009445589418644767,0.41450801524808023,0.05530711804743698,6.800723994463678e-05,1.015598506595353e-05,8.410604566950874e-07,0.802640731417567,2.1165748970021282e-05,0.04848454356333711,0.05296729032286181,0.42225073142383596,7.804603442281867e-10,3.942006121307516e-05,0.0032898086754985655,0.01612540039291601,0.8834330463646288,0.00014674661150809018,1.044595427361411e-13,0.6070834044687063,0.0195494646386549,0.09300877100326917,9.020714565261398e-06,0.6191163487499678,1.4471081730651738e-07,0.524791019107766,0.020201703323293553,0.6577533551870968,0.6411459269473904
XNR_RS00020,3.0459662925336615e-07,9.298765702955823e-09,0.4858168529338276,9.152413469340131e-17,0.020453627775253072,0.5850466075427937,1.893809560404126e-15,0.0006797018001652031,7.684561287618608e-16,0.010178696646878342,0.005063135118494741,0.16992791827479795,0.028271812985732406,8.03888108840261e-12,0.16081860138581777,0.23248611424098853,0.025091620821481957,1.7147517910300155e-08,0.11997792171126845,4.3987069975441557e-17,0.8540028743894239,3.562494726065829e-05,0.5209040124427273,0.7315568405709079,2.8424970299702164e-19,0.032073813565931225,4.151539147179243e-07,0.43968580851888417,0.003560292475975416,0.012696985722370213,0.0001994429881961366
XNR_RS00025,7.418863754903235e-05,5.341460991285659e-11,0.5970906649301542,4.3694137188372125e-17,0.009259201598639613,0.1068287290785388,9.249732507716189e-13,0.0001671565927511423,3.351476755610993e-17,0.064916564201436,0.00024091284914005913,0.3095843624154612,0.04767350985438963,1.1475310884456329e-09,0.07867044883771435,0.4894162101561882,0.008039955000018213,4.1125731259700034e-07,0.20103292450564225,7.545593574830678e-17,0.7896866097607141,0.00097822932498,0.20422626613708117,0.7480481495028184,1.8270354823885363e-23,0.01782042345463628,6.573014750323877e-07,0.13279724395306164,0.0003222293684610086,0.001139039170190271,1.0933784290573209e-05
XNR_RS00030,0.47916872874969474,0.14263476004501796,0.620917556140425,2.2902563048605056e-05,0.004279242458270949,0.0002767559459149487,0.29904402278402126,2.5459017265869813e-07,1.6432452648194365e-07,3.7887680400146043e-06,0.0012746200475619533,0.6440108164338939,1.0350148672627472e-13,0.24085889627092644,0.008506074236954857,6.628423602787897e-06,0.06163294637465103,0.0163821976188871,0.24284504537187349,0.021813419120355945,0.0004930162841937674,3.817493076461374e-13,1.3306900635686564e-17,0.18237191419568813,0.00865547119193259,1.2961109753734782e-05,0.6531249516752587,0.36975504082038135,0.18773692528750496,0.07560772241752506,0.8785627161016132
XNR_RS00035,0.0005904507393421161,0.10131047138395671,0.11527631272643206,1.4319159717736147e-06,0.011848639049248029,0.010497583479405256,8.811050590868809e-12,0.44763695890673527,5.164164952154757e-13,0.15036338214522363,0.005987616554389664,0.21556137132760436,0.1456549117948607,1.3860368020892485e-06,4.945376486254329e-06,0.2242423601400093,0.7954152331909969,1.3012307363872815e-06,0.0004923304280908707,9.260383660051514e-07,0.8892885821313341,0.6416331945695217,0.5936349897222769,0.2141708151512457,1.9270145233238865e-06,0.30674898616126917,0.001721634521627472,0.01972587789020239,0.1647546824583291,0.9566768558221216,0.4839640136881669
XNR_RS00040,0.0002187505358105223,0.8704958870753001,0.6518886934735376,0.035730602711655665,0.0009912241919638224,9.270750411543786e-09,1.692717306612042e-14,4.2209540340569353e-13,1.3970749788179318e-05,3.1499772146203915e-07,0.3527103858342724,0.08021673016048787,1.0942593142185842e-09,7.206870145169354e-08,4.15254075649658e-06,2.1984333753880944e-10,0.3421643359555774,0.007522875146752686,7.286002949472271e-05,0.0015902925440822312,0.00013671423209354435,0.000845483452745888,0.00016868054014832366,0.0004809649000243958,0.014896292530194179,1.0697098937973743e-06,0.6704412500045636,2.5944366835258294e-06,7.8795360405578e-05,0.0019287796132626206,0.7345405447521884
XNR_RS00045,0.0003216199005892168,0.02868378351869841,0.48707554148648147,2.2847284416339025e-05,7.073930447090284e-06,5.683857202911547e-07,3.406503423697919e-15,1.1524678689444929e-05,2.899783494146161e-09,4.250645377134306e-05,0.5469082572940087,0.34210366369801415,4.3249817930802155e-05,4.7852698844488283e-14,0.00016639350231052876,2.661646833759865e-07,0.003297256998180973,8.412059832632186e-06,0.000822699164373893,2.200103853419335e-07,0.00016975622682210344,0.6017636646625832,0.008853618484771921,0.26318337086833865,2.3826392060817436e-08,0.09560416574532098,0.4859772813969455,0.04706827649034327,0.15692028927950474,0.8842637597604179,0.0418751479559379
