{'locus_tag': 'XNR_RS24540', 'region': 18}
{'locus_tag': 'XNR_RS24545', 'region': 18}
{'locus_tag': 'XNR_RS24550', 'region': 18}
{'locus_tag': 'XNR_RS24555', 'region': 18}
{'locus_tag': 'XNR_RS24560', 'region': 18}
{'locus_tag': 'XNR_RS24565', 'region': 18}
{'locus_tag': 'XNR_RS24570', 'region': 18}
{'locus_tag': 'XNR_RS24575', 'region': 18}
{'locus_tag': 'XNR_RS24580', 'region': 18}
{'locus_tag': 'XNR_RS24585', 'region': 18}
{'locus_tag': 'XNR_RS27845', 'region': 19}
{'locus_tag': 'XNR_RS27850', 'region': 19}
{'locus_tag': 'XNR_RS27855', 'region': 19}
{'locus_tag': 'XNR_RS27860', 'region': 19}
{'locus_tag': 'XNR_RS27865', 'region': 19}
{'locus_tag': 'XNR_RS27870', 'region': 19}
{'locus_tag': 'XNR_RS27875', 'region': 19}
{'locus_tag': 'XNR_RS27880', 'region': 19}
{'locus_tag': 'XNR_RS27885', 'region': 19}
{'locus_tag': 'XNR_RS27890', 'region': 19}
{'locus_tag': 'XNR_RS27895', 'region': 19}
{'locus_tag': 'XNR_RS27900', 'region': 19}
{'locus_tag': 'XNR_RS27905', 'region': 19}
{'locus_tag': 'XNR_RS27910', 'region': 19}
{'locus_tag': 'XNR_RS27915', 'region': 19}
{'locus_tag': 'XNR_RS27920', 'region': 19}
{'locus_tag': 'XNR_RS27925', 'region': 19}
{'locus_tag': 'XNR_RS27930', 'region': 19}
{'locus_tag': 'XNR_RS27935', 'region': 19}
{'locus_tag': 'XNR_RS27940', 'region': 19}
{'locus_tag': 'XNR_RS27945', 'region': 19}
{'locus_tag': 'XNR_RS27950', 'region': 19}
{'locus_tag': 'XNR_RS27955', 'region': 19}
{'locus_tag': 'XNR_RS27960', 'region': 19}
{'locus_tag': 'XNR_RS27965', 'region': 19}
{'locus_tag': 'XNR_RS27970', 'region': 19}
{'locus_tag': 'XNR_RS27975', 'region': 19}
{'locus_tag': 'XNR_RS30700', 'region': 19}
{'locus_tag': 'XNR_RS27980', 'region': 19}
{'locus_tag': 'XNR_RS27985', 'region': 19}
{'locus_tag': 'XNR_RS27990', 'region': 19}
{'locus_tag': 'XNR_RS27995', 'region': 19}
{'locus_tag': 'XNR_RS28000', 'region': 19}
{'locus_tag': 'XNR_RS28005', 'region': 19}
{'locus_tag': 'XNR_RS28010', 'region': 19}
{'locus_tag': 'XNR_RS28015', 'region': 19}
{'locus_tag': 'XNR_RS28020', 'region': 19}
{'locus_tag': 'XNR_RS28025', 'region': 19}
{'locus_tag': 'XNR_RS28030', 'region': 19}
{'locus_tag': 'XNR_RS28035', 'region': 19}
{'locus_tag': 'XNR_RS28610', 'region': 21}
{'locus_tag': 'XNR_RS28615', 'region': 21}
{'locus_tag': 'XNR_RS31665', 'region': 21}
{'locus_tag': 'XNR_RS28620', 'region': 21}
{'locus_tag': 'XNR_RS28625', 'region': 21}
{'locus_tag': 'XNR_RS28630', 'region': 21}
{'locus_tag': 'XNR_RS28635', 'region': 21}
{'locus_tag': 'XNR_RS28640', 'region': 21}
{'locus_tag': 'XNR_RS28645', 'region': 21}
{'locus_tag': 'XNR_RS06370', 'region': 9}
{'locus_tag': 'XNR_RS06375', 'region': 9}
{'locus_tag': 'XNR_RS06380', 'region': 9}
{'locus_tag': 'XNR_RS06385', 'region': 9}
{'locus_tag': 'XNR_RS06390', 'region': 9}
{'locus_tag': 'XNR_RS06395', 'region': 9}
{'locus_tag': 'XNR_RS06400', 'region': 9}
{'locus_tag': 'XNR_RS06405', 'region': 9}
{'locus_tag': 'XNR_RS06410', 'region': 9}
{'locus_tag': 'XNR_RS06415', 'region': 9}
{'locus_tag': 'XNR_RS06420', 'region': 9}
{'locus_tag': 'XNR_RS06425', 'region': 9}
{'locus_tag': 'XNR_RS30445', 'region': 9}
{'locus_tag': 'XNR_RS06430', 'region': 9}
{'locus_tag': 'XNR_RS06435', 'region': 9}
{'locus_tag': 'XNR_RS06440', 'region': 9}
{'locus_tag': 'XNR_RS06445', 'region': 9}
{'locus_tag': 'XNR_RS06450', 'region': 9}
{'locus_tag': 'XNR_RS06455', 'region': 9}
{'locus_tag': 'XNR_RS06460', 'region': 9}
{'locus_tag': 'XNR_RS05215', 'region': 8}
{'locus_tag': 'XNR_RS05220', 'region': 8}
{'locus_tag': 'XNR_RS05225', 'region': 8}
{'locus_tag': 'XNR_RS05230', 'region': 8}
{'locus_tag': 'XNR_RS05235', 'region': 8}
{'locus_tag': 'XNR_RS05240', 'region': 8}
{'locus_tag': 'XNR_RS05245', 'region': 8}
{'locus_tag': 'XNR_RS05250', 'region': 8}
