,imodulon,GOs,pvalue,qvalue,precision,recall,f1score,TP,target_set_size,imodulon_size,source,kegg_id,pathway_name,module_name
0,0,"N-alpha,N-alpha,N-alpha-trimethyl-L-histidine metabolic process",7.956324512952249e-05,0.016440659652673145,0.03773584905660377,1.0,0.07272727272727272,2.0,2.0,53.0,GO,,,
1,0,amino-acid betaine biosynthetic process,7.956324512952249e-05,0.016440659652673145,0.03773584905660377,1.0,0.07272727272727272,2.0,2.0,53.0,GO,,,
2,0,amino-acid betaine metabolic process,7.956324512952249e-05,0.016440659652673145,0.03773584905660377,1.0,0.07272727272727272,2.0,2.0,53.0,GO,,,
3,0,ammonium ion metabolic process,7.956324512952249e-05,0.016440659652673145,0.03773584905660377,1.0,0.07272727272727272,2.0,2.0,53.0,GO,,,
4,0,cellular modified histidine biosynthetic process,7.956324512952249e-05,0.016440659652673145,0.03773584905660377,1.0,0.07272727272727272,2.0,2.0,53.0,GO,,,
5,0,cellular modified histidine metabolic process,7.956324512952249e-05,0.016440659652673145,0.03773584905660377,1.0,0.07272727272727272,2.0,2.0,53.0,GO,,,
6,0,ergothioneine biosynthesis from histidine via gamma-glutamyl-hercynylcysteine sulfoxide,7.956324512952249e-05,0.016440659652673145,0.03773584905660377,1.0,0.07272727272727272,2.0,2.0,53.0,GO,,,
7,0,ergothioneine biosynthetic process,7.956324512952249e-05,0.016440659652673145,0.03773584905660377,1.0,0.07272727272727272,2.0,2.0,53.0,GO,,,
8,0,ergothioneine metabolic process,7.956324512952249e-05,0.016440659652673145,0.03773584905660377,1.0,0.07272727272727272,2.0,2.0,53.0,GO,,,
9,0,histidine catabolic process,7.956324512952249e-05,0.016440659652673145,0.03773584905660377,1.0,0.07272727272727272,2.0,2.0,53.0,GO,,,
10,0,imidazole-containing compound catabolic process,7.956324512952249e-05,0.016440659652673145,0.03773584905660377,1.0,0.07272727272727272,2.0,2.0,53.0,GO,,,
11,0,sulfur amino acid biosynthetic process,0.00014324105611799781,0.027132243379684087,0.05660377358490566,0.25,0.09230769230769231,3.0,12.0,53.0,GO,,,
12,0,sulfur amino acid metabolic process,0.0002906360011118113,0.050816586963626696,0.05660377358490566,0.2,0.08823529411764706,3.0,15.0,53.0,GO,,,
13,0,alpha-amino acid catabolic process,0.00047188009222417387,0.07150556330836981,0.03773584905660377,0.5,0.07017543859649122,2.0,4.0,53.0,GO,,,
14,0,amino acid catabolic process,0.00047188009222417387,0.07150556330836981,0.03773584905660377,0.5,0.07017543859649122,2.0,4.0,53.0,GO,,,
15,8,branched-chain amino acid biosynthetic process,1.1419211568457075e-05,0.02595586789510293,0.16666666666666666,0.6666666666666666,0.26666666666666666,2.0,3.0,12.0,GO,,,
16,8,branched-chain amino acid metabolic process,3.7977834950436846e-05,0.043161809421171475,0.16666666666666666,0.4,0.23529411764705882,2.0,5.0,12.0,GO,,,
17,8,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",0.00010597692037655866,0.08029518000530594,0.16666666666666666,0.25,0.2,2.0,8.0,12.0,GO,,,
