Orthogroup	Bsu	Eco	Mtu	Pae	Sac	Sal	Sen
OG0000000	"BSU_02830, BSU_03930, BSU_08650, BSU_12350, BSU_13770, BSU_14060, BSU_15910, BSU_16870, BSU_18500, BSU_22140, BSU_29420, BSU_32000, BSU_32910, BSU_37720, BSU_38970, BSU_39840"	"b0596, b1093, b1619, b2137, b2426, b2774, b2842, b2902, b4266"	"Rv0687, Rv0769, Rv0927c, Rv1050, Rv1350, Rv1483, Rv1714, Rv1865c, Rv1928c, Rv1941, Rv2002, Rv2750, Rv2766c, Rv2857c, Rv3485c, Rv3530c, Rv3549c, Rv3559c"	"PA1470, PA1649, PA1827, PA1828, PA2003, PA2515, PA2887, PA2967, PA3106, PA3128, PA3387, PA3957, PA4089, PA4098, PA4148, PA4162, PA4389, PA5150, PA5521, PA5524"	"SACI_RS00960, SACI_RS01155, SACI_RS05250, SACI_RS05260, SACI_RS05875, SACI_RS06255, SACI_RS08570, SACI_RS09495, SACI_RS10300"	"XNR_RS00260, XNR_RS02895, XNR_RS02935, XNR_RS03280, XNR_RS04475, XNR_RS04485, XNR_RS04510, XNR_RS04960, XNR_RS10170, XNR_RS16085, XNR_RS18085, XNR_RS18940, XNR_RS20760, XNR_RS22095, XNR_RS22785, XNR_RS24800, XNR_RS24855, XNR_RS25470, XNR_RS25880, XNR_RS27235, XNR_RS27240, XNR_RS28775, XNR_RS29155"	"STM0598, STM1195, STM2171, STM2445, STM3017, STM4483"
OG0000001			"Rv0109, Rv0124, Rv0150c, Rv0151c, Rv0152c, Rv0159c, Rv0160c, Rv0278c, Rv0279c, Rv0297, Rv0335c, Rv0532, Rv0578c, Rv0742, Rv0746, Rv0747, Rv0754, Rv0832, Rv0833, Rv0834c, Rv0872c, Rv0916c, Rv0977, Rv0978c, Rv0980c, Rv1040c, Rv1067c, Rv1068c, Rv1087, Rv1088, Rv1091, Rv1169c, Rv1172c, Rv1195, Rv1214c, Rv1243c, Rv1325c, Rv1396c, Rv1430, Rv1441c, Rv1450c, Rv1452c, Rv1468c, Rv1646, Rv1651c, Rv1759c, Rv1768, Rv1788, Rv1791, Rv1803c, Rv1806, Rv1818c, Rv1840c, Rv1983, Rv2107, Rv2162c, Rv2328, Rv2340c, Rv2371, Rv2396, Rv2408, Rv2431c, Rv2487c, Rv2490c, Rv2519, Rv2591, Rv2615c, Rv2634c, Rv2741, Rv2769c, Rv2853, Rv3097c, Rv3345c, Rv3367, Rv3388, Rv3477, Rv3507, Rv3508, Rv3511, Rv3514, Rv3590c, Rv3595c, Rv3622c, Rv3650, Rv3652, Rv3653, Rv3812"				
OG0000002	"BSU_04700, BSU_34110"		"Rv0941c, Rv1364c"	PA2786		"XNR_RS00335, XNR_RS01380, XNR_RS01600, XNR_RS03290, XNR_RS03355, XNR_RS03420, XNR_RS04015, XNR_RS04100, XNR_RS05535, XNR_RS06415, XNR_RS06835, XNR_RS08465, XNR_RS08470, XNR_RS09595, XNR_RS09745, XNR_RS10240, XNR_RS11000, XNR_RS11160, XNR_RS11255, XNR_RS12000, XNR_RS12250, XNR_RS12400, XNR_RS12420, XNR_RS12970, XNR_RS13305, XNR_RS13800, XNR_RS13910, XNR_RS13965, XNR_RS14445, XNR_RS14455, XNR_RS14985, XNR_RS15310, XNR_RS15395, XNR_RS15490, XNR_RS16000, XNR_RS16205, XNR_RS16890, XNR_RS16945, XNR_RS18445, XNR_RS18665, XNR_RS19430, XNR_RS20440, XNR_RS21390, XNR_RS23245, XNR_RS24240, XNR_RS25960, XNR_RS27190, XNR_RS27600, XNR_RS27725, XNR_RS27880, XNR_RS27985, XNR_RS28365, XNR_RS28685, XNR_RS29710, XNR_RS31310, XNR_RS31315"	
OG0000003			"Rv0096, Rv0256c, Rv0280, Rv0286, Rv0305c, Rv0355c, Rv0442c, Rv0453, Rv0755c, Rv0878c, Rv0915c, Rv1039c, Rv1135c, Rv1168c, Rv1196, Rv1361c, Rv1387, Rv1548c, Rv1705c, Rv1706c, Rv1753c, Rv1787, Rv1789, Rv1790, Rv1800, Rv1801, Rv1802, Rv1808, Rv1809, Rv1917c, Rv1918c, Rv2108, Rv2123, Rv2352c, Rv2430c, Rv2608, Rv2768c, Rv2770c, Rv2892c, Rv3018c, Rv3125c, Rv3135, Rv3136, Rv3144c, Rv3159c, Rv3343c, Rv3347c, Rv3350c, Rv3425, Rv3426, Rv3429, Rv3478, Rv3532, Rv3533c, Rv3539, Rv3558, Rv3621c, Rv3738c, Rv3739c, Rv3873"				
OG0000004	"BSU_01450, BSU_01950, BSU_02570, BSU_02750, BSU_02860, BSU_04490, BSU_08310, BSU_09080, BSU_09890, BSU_34090, BSU_38660"	"b0127, b3201"	"Rv1218c, Rv1458c, Rv1687c, Rv2936"	"PA2812, PA3394, PA3672, PA4037, PA4461"	"SACI_RS01905, SACI_RS03505, SACI_RS03525, SACI_RS04520, SACI_RS04805, SACI_RS04905, SACI_RS06195, SACI_RS07320, SACI_RS08115, SACI_RS08615, SACI_RS11140, SACI_RS11155"	"XNR_RS06865, XNR_RS07525, XNR_RS09885, XNR_RS10070, XNR_RS11220, XNR_RS11390, XNR_RS11770, XNR_RS12195, XNR_RS14130, XNR_RS14510, XNR_RS15580, XNR_RS16620, XNR_RS17405, XNR_RS17720, XNR_RS20010, XNR_RS24445, XNR_RS29045"	"STM0172, STM2020, STM3319"
OG0000005	"BSU_02470, BSU_03210, BSU_03910, BSU_07350, BSU_19310, BSU_31060, BSU_37780, BSU_38830"	"b0312, b1300, b1385, b1387, b1415, b1444, b2661, b3588"	"Rv0223c, Rv0458, Rv0768, Rv1731, Rv2858c"	"PA0219, PA0265, PA1984, PA2125, PA3504, PA4022, PA4073, PA4123, PA4189, PA4899, PA5312, PA5373"	"SACI_RS01100, SACI_RS05235, SACI_RS08120, SACI_RS08305, SACI_RS08920, SACI_RS09350"	"XNR_RS01790, XNR_RS05790, XNR_RS05850, XNR_RS05885, XNR_RS10710, XNR_RS16955, XNR_RS18910, XNR_RS19230, XNR_RS19845, XNR_RS25875"	"STM1102, STM1597, STM2791, STM3129, STM3680"
OG0000006	"BSU_02740, BSU_05420, BSU_08300, BSU_09330, BSU_19200, BSU_28920, BSU_33080, BSU_34060, BSU_35490, BSU_38910"	"b1221, b2125, b2193, b2381, b3669"	"Rv0844c, Rv3133c"	"PA0601, PA1980, PA3879, PA5261"		"XNR_RS00365, XNR_RS02760, XNR_RS04165, XNR_RS07220, XNR_RS09365, XNR_RS10515, XNR_RS11560, XNR_RS11785, XNR_RS12325, XNR_RS13210, XNR_RS13780, XNR_RS14145, XNR_RS15205, XNR_RS15910, XNR_RS17175, XNR_RS17210, XNR_RS18850, XNR_RS18980, XNR_RS22405, XNR_RS22670, XNR_RS23350, XNR_RS23575, XNR_RS24520, XNR_RS24865, XNR_RS25645, XNR_RS26125, XNR_RS27995"	"STM0347, STM1767, STM2158, STM2246, STM3790"
OG0000007	"BSU_10560, BSU_10840, BSU_12370, BSU_13870, BSU_29740, BSU_33970, BSU_34170, BSU_34630, BSU_35910, BSU_40870"	"b0345, b1320, b1620, b1658, b2151, b2714, b2837, b3438, b3753, b3934, b4264"	Rv3575c	"PA1949, PA2320"		"XNR_RS00395, XNR_RS00790, XNR_RS01570, XNR_RS01845, XNR_RS03050, XNR_RS03065, XNR_RS05125, XNR_RS08320, XNR_RS09805, XNR_RS14575, XNR_RS16440, XNR_RS16480, XNR_RS19300, XNR_RS20665, XNR_RS22995, XNR_RS23020, XNR_RS25700"	"STM1430, STM1555, STM2191, STM2345, STM3011, STM3012, STM3543, STM3633, STM3696, STM3886, STM4094, STM4481"
OG0000008	"BSU_03170, BSU_03620, BSU_18460, BSU_18760, BSU_29400, BSU_33990, BSU_36020, BSU_38310, BSU_40670"	"b0338, b0768, b1595, b1988, b2409, b2537, b2921, b3961, b4706"	Rv0117	"PA0217, PA0218, PA0491, PA0528, PA1826, PA1998, PA2054, PA2510, PA3433, PA3594, PA3776, PA5029, PA5179, PA5218, PA5344"		"XNR_RS00615, XNR_RS01065, XNR_RS02605, XNR_RS04665, XNR_RS19390, XNR_RS19740, XNR_RS20390, XNR_RS28075, XNR_RS29310"	"STM0692, STM0763, STM1487, STM2281, STM2424, STM2575, STM3121, STM4125, STM4270"
OG0000009	"BSU_02550, BSU_03750, BSU_13250, BSU_23120, BSU_29110, BSU_40410"	"b0399, b0571, b1608, b1969, b3025, b3912, b4398"	"Rv0491, Rv0602c, Rv0757, Rv0903c, Rv0981, Rv1033c, Rv3246c, Rv3765c"	"PA0463, PA0756, PA1157, PA1437, PA1799, PA2479, PA2523, PA2798, PA2809, PA3204, PA4776, PA4885, PA5360"		"XNR_RS05355, XNR_RS07110, XNR_RS07545, XNR_RS09390, XNR_RS09735, XNR_RS12755, XNR_RS16470, XNR_RS17290, XNR_RS19795, XNR_RS23460"	"STM0397, STM1096, STM1475, STM2785, STM3177, STM4059, STM4588"
