name,selected,shared name,Type
XNR_RS03030,False,XNR_RS03030,Group 4
XNR_RS03370,False,XNR_RS03370,Group 4
XNR_RS05170,False,XNR_RS05170,Group 1
XNR_RS05970,False,XNR_RS05970,Group 2
XNR_RS07195,False,XNR_RS07195,Anti-Sigma
XNR_RS07380,False,XNR_RS07380,Group 2
XNR_RS07515,False,XNR_RS07515,Group 4
XNR_RS07520,False,XNR_RS07520,Anti-anti-Sigma
XNR_RS07755,False,XNR_RS07755,Anti-Sigma
XNR_RS07760,False,XNR_RS07760,Group 2
XNR_RS07865,False,XNR_RS07865,Group 4
XNR_RS08220,False,XNR_RS08220,Group 4
XNR_RS09750,False,XNR_RS09750,Anti-Sigma
XNR_RS09755,False,XNR_RS09755,Group 2
XNR_RS10635,False,XNR_RS10635,Group 1
XNR_RS11170,False,XNR_RS11170,Anti-Sigma
XNR_RS12225,False,XNR_RS12225,Anti-anti-Sigma
XNR_RS12230,False,XNR_RS12230,Anti-anti-Sigma
XNR_RS12235,False,XNR_RS12235,Anti-Sigma
XNR_RS12240,False,XNR_RS12240,Anti-Sigma
XNR_RS13405,False,XNR_RS13405,Anti-Sigma
XNR_RS13410,False,XNR_RS13410,Anti-Sigma
XNR_RS13665,False,XNR_RS13665,Group 4
XNR_RS14315,False,XNR_RS14315,Group 2
XNR_RS14320,False,XNR_RS14320,Group 2
XNR_RS14400,False,XNR_RS14400,Group 4
XNR_RS14455,False,XNR_RS14455,Anti-Sigma
XNR_RS14850,False,XNR_RS14850,Group 4
XNR_RS16255,False,XNR_RS16255,Group 4
XNR_RS16370,False,XNR_RS16370,Group 4
XNR_RS17300,False,XNR_RS17300,Group 4
XNR_RS17485,False,XNR_RS17485,Group 4
XNR_RS18855,False,XNR_RS18855,Group 4
XNR_RS19540,False,XNR_RS19540,Group 4
XNR_RS19730,False,XNR_RS19730,Group 4
XNR_RS19800,False,XNR_RS19800,Group 4
XNR_RS22170,False,XNR_RS22170,Group 1
XNR_RS25810,False,XNR_RS25810,Anti-Sigma
XNR_RS25815,False,XNR_RS25815,Group 4
XNR_RS26190,False,XNR_RS26190,Anti-Sigma
XNR_RS27425,False,XNR_RS27425,Group 4
XNR_RS27905,False,XNR_RS27905,Group 4
XNR_RS28030,False,XNR_RS28030,Group 4
XNR_RS29215,False,XNR_RS29215,Group 4
XNR_RS07675,False,XNR_RS07675,Uncategorized
BGC-19-20 deletion,False,BGC-19-20 deletion,iModulon
Glutamine,False,Glutamine,iModulon
Prophages,False,Prophages,iModulon
Surugamide repressor,False,Surugamide repressor,iModulon
ArsR,False,ArsR,iModulon
Paulomycin-1,False,Paulomycin-1,iModulon
UC-1,False,UC-1,iModulon
Cyclofaulknamycin-1,False,Cyclofaulknamycin-1,iModulon
Leucine,False,Leucine,iModulon
UC-2,False,UC-2,iModulon
ABC transporter,False,ABC transporter,iModulon
Histidine,False,Histidine,iModulon
UC-3,False,UC-3,iModulon
Cysteine,False,Cysteine,iModulon
UC-4,False,UC-4,iModulon
UC-5,False,UC-5,iModulon
Minimycin deletion,False,Minimycin deletion,iModulon
RpoH,False,RpoH,iModulon
Isorenieratene/streptamidine,False,Isorenieratene/streptamidine,iModulon
Mannitol/xylose,False,Mannitol/xylose,iModulon
WhiH,False,WhiH,iModulon
WblA,False,WblA,iModulon
Sucrose,False,Sucrose,iModulon
Sulfate,False,Sulfate,iModulon
Phosphate,False,Phosphate,iModulon
Ribosomal,False,Ribosomal,iModulon
Phospholipid,False,Phospholipid,iModulon
Glycerol,False,Glycerol,iModulon
RpoE,False,RpoE,iModulon
Carbohydrate metabolism-1,False,Carbohydrate metabolism-1,iModulon
Phenylacetate,False,Phenylacetate,iModulon
WhiB3,False,WhiB3,iModulon
Potassium,False,Potassium,iModulon
Mce transporters,False,Mce transporters,iModulon
Nitrogen/Ammonia/Urea,False,Nitrogen/Ammonia/Urea,iModulon
Stress,False,Stress,iModulon
Cyclofaulknamycin-2,False,Cyclofaulknamycin-2,iModulon
Cytochrome,False,Cytochrome,iModulon
Transketolase,False,Transketolase,iModulon
Carbohydrate metabolism-2,False,Carbohydrate metabolism-2,iModulon
Fructose,False,Fructose,iModulon
BGC-1 related,False,BGC-1 related,iModulon
UC-6,False,UC-6,iModulon
zwf,False,zwf,iModulon
UC-7,False,UC-7,iModulon
NRPS BGC-14 related,False,NRPS BGC-14 related,iModulon
Paulomycin-2,False,Paulomycin-2,iModulon
Surugamide F,False,Surugamide F,iModulon
Minimycin/dudomycin,False,Minimycin/dudomycin,iModulon
SigK,False,SigK,iModulon
Mms,False,Mms,iModulon
NDH,False,NDH,iModulon
SAL-2242,False,SAL-2242,iModulon
araBAD,False,araBAD,iModulon
LAP/Thiopeptide BGC-11,False,LAP/Thiopeptide BGC-11,iModulon
Cell membrane,False,Cell membrane,iModulon
Candicidin/antimycin,False,Candicidin/antimycin,iModulon
DNA damage,False,DNA damage,iModulon
SigE,False,SigE,iModulon
Glycosyltransferase,False,Glycosyltransferase,iModulon
Lipid metabolism,False,Lipid metabolism,iModulon
Large genome deletion,False,Large genome deletion,iModulon
SGR PTMs,False,SGR PTMs,iModulon
Iron acquisition,False,Iron acquisition,iModulon
RpoS,False,RpoS,iModulon
UC-8,False,UC-8,iModulon
Cellobiose,False,Cellobiose,iModulon
Paulomycin-3,False,Paulomycin-3,iModulon
Fatty Acid,False,Fatty Acid,iModulon
Nitrate,False,Nitrate,iModulon
Nucleotide,False,Nucleotide,iModulon
Translation,False,Translation,iModulon
Cell motility,False,Cell motility,iModulon
Quorum sensing,False,Quorum sensing,iModulon
Serine protease,False,Serine protease,iModulon
Surugamide,False,Surugamide,iModulon
Amino acid transport,False,Amino acid transport,iModulon
UC-9,False,UC-9,iModulon
