Orthogroup	Species Tree Node	Gene Tree Node	Support	Type	Genes 1	Genes 2
OG0000000	N0	n0	1.0	Non-Terminal	sac2_SACI_RS09495, pae2_PA2967, ecol2_b1093, sen2_STM1195, salb2_XNR_RS24800, mtub2_Rv1483, bsu2_BSU_15910	mtub2_Rv1350, salb2_XNR_RS27235, pae2_PA4389, mtub2_Rv2002, salb2_XNR_RS25470, mtub2_Rv2857c, salb2_XNR_RS25880, pae2_PA1649, salb2_XNR_RS18085, salb2_XNR_RS04485, salb2_XNR_RS04475, sac2_SACI_RS05875, salb2_XNR_RS04960, salb2_XNR_RS20760, mtub2_Rv1941, salb2_XNR_RS00260, pae2_PA2003, bsu2_BSU_38970, mtub2_Rv1050, pae2_PA3957, bsu2_BSU_18500, mtub2_Rv1865c, pae2_PA4148, sen2_STM2445, ecol2_b2426, mtub2_Rv0687, mtub2_Rv2750, salb2_XNR_RS04510, bsu2_BSU_29420, sac2_SACI_RS06255, sac2_SACI_RS10300, bsu2_BSU_22140, sen2_STM3017, ecol2_b2842, ecol2_b2774, sen2_STM4483, ecol2_b4266, pae2_PA4098, pae2_PA3387, mtub2_Rv1928c, sen2_STM2171, ecol2_b2137, ecol2_b1619, salb2_XNR_RS24855, mtub2_Rv0927c, salb2_XNR_RS27240, mtub2_Rv3549c, mtub2_Rv2766c, bsu2_BSU_12350, pae2_PA1828, mtub2_Rv1714, mtub2_Rv3485c, pae2_PA2887, bsu2_BSU_14060, mtub2_Rv0769, salb2_XNR_RS29155, salb2_XNR_RS02895, salb2_XNR_RS28775, bsu2_BSU_16870, pae2_PA4162, pae2_PA5150, sac2_SACI_RS05250, bsu2_BSU_08650, bsu2_BSU_32910, sac2_SACI_RS05260, sac2_SACI_RS00960, sac2_SACI_RS01155, ecol2_b2902, pae2_PA3128, salb2_XNR_RS18940, pae2_PA1470, salb2_XNR_RS22095, bsu2_BSU_37720, bsu2_BSU_02830, bsu2_BSU_03930, pae2_PA3106, sac2_SACI_RS08570, salb2_XNR_RS03280, bsu2_BSU_39840, bsu2_BSU_13770, mtub2_Rv3530c, pae2_PA4089, pae2_PA1827, pae2_PA5524, pae2_PA2515, salb2_XNR_RS10170, mtub2_Rv3559c, ecol2_b0596, sen2_STM0598, salb2_XNR_RS02935, bsu2_BSU_32000, salb2_XNR_RS16085, salb2_XNR_RS22785, pae2_PA5521
OG0000000	N0	n7	0.14285714285714285	Non-Terminal	mtub2_Rv1350	salb2_XNR_RS27235, pae2_PA4389, mtub2_Rv2002, salb2_XNR_RS25470, mtub2_Rv2857c, salb2_XNR_RS25880, pae2_PA1649, salb2_XNR_RS18085, salb2_XNR_RS04485, salb2_XNR_RS04475, sac2_SACI_RS05875, salb2_XNR_RS04960, salb2_XNR_RS20760, mtub2_Rv1941, salb2_XNR_RS00260, pae2_PA2003, bsu2_BSU_38970, mtub2_Rv1050, pae2_PA3957, bsu2_BSU_18500, mtub2_Rv1865c, pae2_PA4148, sen2_STM2445, ecol2_b2426, mtub2_Rv0687, mtub2_Rv2750, salb2_XNR_RS04510, bsu2_BSU_29420, sac2_SACI_RS06255, sac2_SACI_RS10300, bsu2_BSU_22140, sen2_STM3017, ecol2_b2842, ecol2_b2774, sen2_STM4483, ecol2_b4266, pae2_PA4098, pae2_PA3387, mtub2_Rv1928c, sen2_STM2171, ecol2_b2137, ecol2_b1619, salb2_XNR_RS24855, mtub2_Rv0927c, salb2_XNR_RS27240, mtub2_Rv3549c, mtub2_Rv2766c, bsu2_BSU_12350, pae2_PA1828, mtub2_Rv1714, mtub2_Rv3485c, pae2_PA2887, bsu2_BSU_14060, mtub2_Rv0769, salb2_XNR_RS29155, salb2_XNR_RS02895, salb2_XNR_RS28775, bsu2_BSU_16870, pae2_PA4162, pae2_PA5150, sac2_SACI_RS05250, bsu2_BSU_08650, bsu2_BSU_32910, sac2_SACI_RS05260, sac2_SACI_RS00960, sac2_SACI_RS01155, ecol2_b2902, pae2_PA3128, salb2_XNR_RS18940, pae2_PA1470, salb2_XNR_RS22095, bsu2_BSU_37720, bsu2_BSU_02830, bsu2_BSU_03930, pae2_PA3106, sac2_SACI_RS08570, salb2_XNR_RS03280, bsu2_BSU_39840, bsu2_BSU_13770, mtub2_Rv3530c, pae2_PA4089, pae2_PA1827, pae2_PA5524, pae2_PA2515, salb2_XNR_RS10170, mtub2_Rv3559c, ecol2_b0596, sen2_STM0598, salb2_XNR_RS02935, bsu2_BSU_32000, salb2_XNR_RS16085, salb2_XNR_RS22785, pae2_PA5521
OG0000000	N0	n8	0.2857142857142857	Non-Terminal	salb2_XNR_RS27235, pae2_PA4389	mtub2_Rv2002, salb2_XNR_RS25470, mtub2_Rv2857c, salb2_XNR_RS25880, pae2_PA1649, salb2_XNR_RS18085, salb2_XNR_RS04485, salb2_XNR_RS04475, sac2_SACI_RS05875, salb2_XNR_RS04960, salb2_XNR_RS20760, mtub2_Rv1941, salb2_XNR_RS00260, pae2_PA2003, bsu2_BSU_38970, mtub2_Rv1050, pae2_PA3957, bsu2_BSU_18500, mtub2_Rv1865c, pae2_PA4148, sen2_STM2445, ecol2_b2426, mtub2_Rv0687, mtub2_Rv2750, salb2_XNR_RS04510, bsu2_BSU_29420, sac2_SACI_RS06255, sac2_SACI_RS10300, bsu2_BSU_22140, sen2_STM3017, ecol2_b2842, ecol2_b2774, sen2_STM4483, ecol2_b4266, pae2_PA4098, pae2_PA3387, mtub2_Rv1928c, sen2_STM2171, ecol2_b2137, ecol2_b1619, salb2_XNR_RS24855, mtub2_Rv0927c, salb2_XNR_RS27240, mtub2_Rv3549c, mtub2_Rv2766c, bsu2_BSU_12350, pae2_PA1828, mtub2_Rv1714, mtub2_Rv3485c, pae2_PA2887, bsu2_BSU_14060, mtub2_Rv0769, salb2_XNR_RS29155, salb2_XNR_RS02895, salb2_XNR_RS28775, bsu2_BSU_16870, pae2_PA4162, pae2_PA5150, sac2_SACI_RS05250, bsu2_BSU_08650, bsu2_BSU_32910, sac2_SACI_RS05260, sac2_SACI_RS00960, sac2_SACI_RS01155, ecol2_b2902, pae2_PA3128, salb2_XNR_RS18940, pae2_PA1470, salb2_XNR_RS22095, bsu2_BSU_37720, bsu2_BSU_02830, bsu2_BSU_03930, pae2_PA3106, sac2_SACI_RS08570, salb2_XNR_RS03280, bsu2_BSU_39840, bsu2_BSU_13770, mtub2_Rv3530c, pae2_PA4089, pae2_PA1827, pae2_PA5524, pae2_PA2515, salb2_XNR_RS10170, mtub2_Rv3559c, ecol2_b0596, sen2_STM0598, salb2_XNR_RS02935, bsu2_BSU_32000, salb2_XNR_RS16085, salb2_XNR_RS22785, pae2_PA5521
OG0000000	N0	n10	0.2857142857142857	Non-Terminal	mtub2_Rv2002, salb2_XNR_RS25470	mtub2_Rv2857c, salb2_XNR_RS25880, pae2_PA1649, salb2_XNR_RS18085, salb2_XNR_RS04485, salb2_XNR_RS04475, sac2_SACI_RS05875, salb2_XNR_RS04960, salb2_XNR_RS20760, mtub2_Rv1941, salb2_XNR_RS00260, pae2_PA2003, bsu2_BSU_38970, mtub2_Rv1050, pae2_PA3957, bsu2_BSU_18500, mtub2_Rv1865c, pae2_PA4148, sen2_STM2445, ecol2_b2426, mtub2_Rv0687, mtub2_Rv2750, salb2_XNR_RS04510, bsu2_BSU_29420, sac2_SACI_RS06255, sac2_SACI_RS10300, bsu2_BSU_22140, sen2_STM3017, ecol2_b2842, ecol2_b2774, sen2_STM4483, ecol2_b4266, pae2_PA4098, pae2_PA3387, mtub2_Rv1928c, sen2_STM2171, ecol2_b2137, ecol2_b1619, salb2_XNR_RS24855, mtub2_Rv0927c, salb2_XNR_RS27240, mtub2_Rv3549c, mtub2_Rv2766c, bsu2_BSU_12350, pae2_PA1828, mtub2_Rv1714, mtub2_Rv3485c, pae2_PA2887, bsu2_BSU_14060, mtub2_Rv0769, salb2_XNR_RS29155, salb2_XNR_RS02895, salb2_XNR_RS28775, bsu2_BSU_16870, pae2_PA4162, pae2_PA5150, sac2_SACI_RS05250, bsu2_BSU_08650, bsu2_BSU_32910, sac2_SACI_RS05260, sac2_SACI_RS00960, sac2_SACI_RS01155, ecol2_b2902, pae2_PA3128, salb2_XNR_RS18940, pae2_PA1470, salb2_XNR_RS22095, bsu2_BSU_37720, bsu2_BSU_02830, bsu2_BSU_03930, pae2_PA3106, sac2_SACI_RS08570, salb2_XNR_RS03280, bsu2_BSU_39840, bsu2_BSU_13770, mtub2_Rv3530c, pae2_PA4089, pae2_PA1827, pae2_PA5524, pae2_PA2515, salb2_XNR_RS10170, mtub2_Rv3559c, ecol2_b0596, sen2_STM0598, salb2_XNR_RS02935, bsu2_BSU_32000, salb2_XNR_RS16085, salb2_XNR_RS22785, pae2_PA5521
OG0000000	N0	n12	0.5714285714285714	Non-Terminal	mtub2_Rv2857c, salb2_XNR_RS25880, pae2_PA1649, salb2_XNR_RS18085, salb2_XNR_RS04485, salb2_XNR_RS04475, sac2_SACI_RS05875, salb2_XNR_RS04960, salb2_XNR_RS20760, mtub2_Rv1941	salb2_XNR_RS00260, pae2_PA2003, bsu2_BSU_38970, mtub2_Rv1050, pae2_PA3957, bsu2_BSU_18500, mtub2_Rv1865c, pae2_PA4148, sen2_STM2445, ecol2_b2426, mtub2_Rv0687, mtub2_Rv2750, salb2_XNR_RS04510, bsu2_BSU_29420, sac2_SACI_RS06255, sac2_SACI_RS10300, bsu2_BSU_22140, sen2_STM3017, ecol2_b2842, ecol2_b2774, sen2_STM4483, ecol2_b4266, pae2_PA4098, pae2_PA3387, mtub2_Rv1928c, sen2_STM2171, ecol2_b2137, ecol2_b1619, salb2_XNR_RS24855, mtub2_Rv0927c, salb2_XNR_RS27240, mtub2_Rv3549c, mtub2_Rv2766c, bsu2_BSU_12350, pae2_PA1828, mtub2_Rv1714, mtub2_Rv3485c, pae2_PA2887, bsu2_BSU_14060, mtub2_Rv0769, salb2_XNR_RS29155, salb2_XNR_RS02895, salb2_XNR_RS28775, bsu2_BSU_16870, pae2_PA4162, pae2_PA5150, sac2_SACI_RS05250, bsu2_BSU_08650, bsu2_BSU_32910, sac2_SACI_RS05260, sac2_SACI_RS00960, sac2_SACI_RS01155, ecol2_b2902, pae2_PA3128, salb2_XNR_RS18940, pae2_PA1470, salb2_XNR_RS22095, bsu2_BSU_37720, bsu2_BSU_02830, bsu2_BSU_03930, pae2_PA3106, sac2_SACI_RS08570, salb2_XNR_RS03280, bsu2_BSU_39840, bsu2_BSU_13770, mtub2_Rv3530c, pae2_PA4089, pae2_PA1827, pae2_PA5524, pae2_PA2515, salb2_XNR_RS10170, mtub2_Rv3559c, ecol2_b0596, sen2_STM0598, salb2_XNR_RS02935, bsu2_BSU_32000, salb2_XNR_RS16085, salb2_XNR_RS22785, pae2_PA5521
OG0000000	N0	n13	0.2857142857142857	Non-Terminal	mtub2_Rv2857c, salb2_XNR_RS25880	pae2_PA1649, salb2_XNR_RS18085, salb2_XNR_RS04485, salb2_XNR_RS04475, sac2_SACI_RS05875, salb2_XNR_RS04960, salb2_XNR_RS20760, mtub2_Rv1941
OG0000000	N0	n16	0.14285714285714285	Non-Terminal	pae2_PA1649, salb2_XNR_RS18085, salb2_XNR_RS04485, salb2_XNR_RS04475	sac2_SACI_RS05875, salb2_XNR_RS04960, salb2_XNR_RS20760
OG0000000	salb2	n18	1.0	Terminal	salb2_XNR_RS18085	salb2_XNR_RS04485, salb2_XNR_RS04475
OG0000000	salb2	n19	1.0	Terminal	salb2_XNR_RS04485	salb2_XNR_RS04475
OG0000000	salb2	n21	1.0	Terminal	salb2_XNR_RS04960	salb2_XNR_RS20760
