,iModulon,function,size
0,BGC-19-20 deletion,Genome Modification,53
1,Glutamine,Amino Acid Metabolism,26
2,Prophages,Stress Response,20
3,Surugamide repressor,Secondary Metabolism,7
4,ArsR,Metal Homeostasis,4
5,Paulomycin-1,Secondary Metabolism,31
6,UC-1,Uncharacterized,140
7,Cyclofaulknamycin-1,Secondary Metabolism,18
8,Leucine,Amino Acid Metabolism,12
9,UC-2,Uncharacterized,104
10,ABC transporter,Membrane Transport,5
11,Histidine,Amino Acid Metabolism,18
12,UC-3,Uncharacterized,20
13,Cysteine,Amino Acid Metabolism,23
14,UC-4,Uncharacterized,94
15,UC-5,Uncharacterized,6
16,Minimycin deletion,Genome Modification,25
17,RpoH,Stress Response,48
18,Isorenieratene/streptamidine,Secondary Metabolism,27
19,Mannitol/xylose,Carbon Metabolism,6
20,WhiH,Development,52
21,WblA,Secondary Metabolism,38
22,Sucrose,Carbon Metabolism,4
23,Sulfate,Sulfate Metabolism,37
24,Phosphate,Phosphate Metabolism,23
25,Ribosomal,Translation,32
26,Phospholipid,Fatty Acid Metabolism,6
27,Glycerol,Carbon Metabolism,18
28,RpoE,Stress Response,49
29,Carbohydrate metabolism-1,Carbon Metabolism,7
30,Phenylacetate,Carbon Metabolism,15
31,WhiB3,Development,86
32,Potassium,Metal Homeostasis,6
33,Mce transporters,Membrane Transport,22
34,Nitrogen/Ammonia/Urea,Nitrogen Metabolism,21
35,Stress,Stress Response,83
36,Cyclofaulknamycin-2,Secondary Metabolism,20
37,Cytochrome,Energy production and Conversion,5
38,Transketolase,Carbon Metabolism,16
39,Carbohydrate metabolism-2,Carbon Metabolism,25
40,Fructose,Carbon Metabolism,5
41,BGC-1 related,Secondary Metabolism,18
42,UC-6,Uncharacterized,4
43,zwf,Carbon Metabolism,2
44,UC-7,Uncharacterized,56
45,NRPS BGC-14 related,Secondary Metabolism,29
46,Paulomycin-2,Secondary Metabolism,36
47,Surugamide F,Secondary Metabolism,2
48,Minimycin/dudomycin,Secondary Metabolism,35
49,SigK,Cell wall/membrane/envelope biogenesis,14
50,Mms,Fatty Acid Metabolism,7
51,NDH,Energy production and Conversion,68
52,SAL-2242,Secondary Metabolism,5
53,araBAD,Carbon Metabolism,17
54,LAP/Thiopeptide BGC-11,Secondary Metabolism,14
55,Cell membrane,Cell wall/membrane/envelope biogenesis,92
56,Candicidin/antimycin,Secondary Metabolism,32
57,DNA damage,DNA Damage,65
58,SigE,Stress Response,45
59,Glycosyltransferase,Carbon Metabolism,14
60,Lipid metabolism,Fatty Acid Metabolism,79
61,Large genome deletion,Genome Modification,98
62,SGR PTMs,Secondary Metabolism,15
63,Iron acquisition,Metal Homeostasis,34
64,RpoS,Stress Response,41
65,UC-8,Uncharacterized,6
66,Cellobiose,Carbon Metabolism,19
67,Paulomycin-3,Secondary Metabolism,39
68,Fatty Acid,Fatty Acid Metabolism,86
69,Nitrate,Nitrogen Metabolism,86
70,Nucleotide,Nucleic Acids,20
71,Translation,Translation,110
72,Cell motility,Cell motility,46
73,Quorum sensing,Quorum sensing,134
74,Serine protease,Protease,27
75,Surugamide,Secondary Metabolism,89
76,Amino acid transport,Membrane Transport,119
77,UC-9,Uncharacterized,93
